task,variant,signal,scene_normalised,n_frames,n_scenes,eta_10,reduction_frac_10,tie_frac_10,eta_10_lo,eta_10_hi,eta_10_boot_dropped,eta_20,reduction_frac_20,tie_frac_20,eta_20_lo,eta_20_hi,eta_20_boot_dropped,eta_30,reduction_frac_30,tie_frac_30,eta_30_lo,eta_30_hi,eta_30_boot_dropped,eta_50,reduction_frac_50,tie_frac_50,eta_50_lo,eta_50_hi,eta_50_boot_dropped,spearman_vs_dJ,kendall_vs_dJ,inversion_rate_vs_dJ,top10_overlap_vs_dJ,top20_overlap_vs_dJ
plannerC_path_dev,mono,multimetric_dE_oracle,False,3376,85,0.016908280536968676,0.001428260556848734,0.0029585798816568047,-0.07002596780663098,0.11092181538268761,0.0,0.0345870527782263,0.0034480265133809596,0.0044444444444444444,-0.07832328356551575,0.14522691518119984,0.0,0.01717100393619926,0.001781635064370469,0.0009871668311944718,-0.08699994278058423,0.1318003543458516,0.0,0.03265405020797754,0.0033881304238477738,0.0005924170616113745,-0.11148756908811386,0.18155913444359942,0.0,0.017016956388550324,0.012011045292271077,0.4931845656625466,0.15976331360946747,0.2607407407407407
plannerC_path_dev,mono,PKL_gain,False,3376,85,0.7729388697016599,0.06529097373540751,0.0029585798816568047,0.6889414502407756,0.824339013487095,0.0,0.821591728870633,0.08190550615818383,0.0014814814814814814,0.763035789117876,0.8558920947951866,0.0,0.8400135408233635,0.08715842034849393,0.0009871668311944718,0.794325677758668,0.880624220346945,0.0,0.8552917743612325,0.08874366467630655,0.2132701421800948,0.8086696033754859,0.8930860957182393,0.0,0.6748348889439115,0.5479232929225677,0.20444392338829104,0.5828402366863905,0.6651851851851852
plannerC_path_dev,mono,TIP_gain,False,3376,85,0.7032595641904448,0.059405088208923144,0.0029585798816568047,0.6162649370132125,0.7919369542663856,0.0,0.7563213484507435,0.0753986203685996,0.0014814814814814814,0.6658554236989198,0.8031280643082211,0.0,0.7685310819041341,0.07974151824008345,0.0009871668311944718,0.6939296766465614,0.8300938612477604,0.0,0.7834787076929971,0.08129245925282085,0.2109004739336493,0.7105795898316652,0.8372697569058979,0.0,0.6193838889090871,0.4977338166542227,0.23006987380629668,0.5414201183431953,0.6370370370370371
plannerC_path_dev,mono,decision_oracle_dJ,False,3376,85,1.0,0.08447107047496345,0.011834319526627219,1.0,1.0,0.0,1.0,0.0996912496560449,0.0014814814814814814,1.0,1.0,0.0,1.0,0.10375835163688323,0.045409674234945706,1.0,1.0,0.0,1.0,0.10375835163688323,0.42713270142180093,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
plannerC_path_dev,mono,uncertainty [scene-z],True,3376,85,-0.07733937042994757,-0.006532939410077405,0.0029585798816568047,-0.17222266157499636,0.0037987491048689405,0.0,-0.05634843868676497,-0.005617446268850626,0.0014814814814814814,-0.17050775803581011,0.035146358357885515,0.0,-0.05167710617517019,-0.005361931354099859,0.0009871668311944718,-0.18656356029857735,0.04640631833326508,0.0,0.058567005338557784,0.006076815934237296,0.0005924170616113745,-0.1530192918213597,0.22530960865299715,0.0,-0.0012865251372133726,-0.0009057025959828014,0.4993730659238167,0.12721893491124261,0.24888888888888888
plannerC_path_dev,mono,criticality [scene-z],True,3376,85,-0.005727591237425923,-0.0004838157630683883,0.0029585798816568047,-0.0804732540017584,0.05555850650397016,0.0,0.041609338749065986,0.00414808697725608,0.0014814814814814814,-0.0640250071733783,0.12273825143409119,0.0,0.038222611662637525,0.003965915181371979,0.0009871668311944718,-0.1224501232407237,0.1822903061477592,0.0,0.0055700962534700185,0.000577944005718828,0.0005924170616113745,-0.1996125787206043,0.18949343849179992,0.0,0.02327529026139625,0.01667673010466984,0.4911351571817895,0.15976331360946747,0.2725925925925926
plannerC_path_dev,mono,perception_oracle_dE [scene-z],True,3376,85,-0.016954957441337053,-0.0014322034049271883,0.014792899408284023,-0.14916862283935167,0.09036293112667716,0.0,-0.0180893356576699,-0.001803348477160765,0.008888888888888889,-0.21048448291514968,0.14515485220693608,0.0,-0.04453885321423144,-0.004621277993305753,0.007897334649555774,-0.27568771086757704,0.172840960568334,0.0,-0.09611827476315835,-0.009973073751606342,0.01066350710900474,-0.3592582444395475,0.12117404959045551,0.0,-0.010999242531453948,-0.008602169350372545,0.5054720623746827,0.14792899408284024,0.2548148148148148
plannerC_path_dev,mono,best_dE_metric (E5_loc_heavy) [scene-z],True,3376,85,-0.030012273895261298,-0.002535168903320523,0.0029585798816568047,-0.07606775629169318,0.016206280551004874,0.0,0.014191186127617059,0.0014147370791636733,0.0014814814814814814,-0.09432645621285796,0.09265289000156803,0.0,0.04610425714680653,0.004783701724995639,0.0009871668311944718,-0.0876552732126829,0.18222634272106283,0.0,-0.012756534097797853,-0.0013235969505872006,0.0005924170616113745,-0.19420290344965976,0.14495886555352097,0.0,-0.02129903367952015,-0.016208208006828016,0.5073562551320916,0.11538461538461539,0.2074074074074074
plannerC_path_dev,mono,multimetric_dE_oracle [scene-z],True,3376,85,0.016820029501465134,0.001420805897409226,0.0029585798816568047,-0.08874623983958474,0.10737779756868342,0.0,0.029222476320105672,0.0029132251823955147,0.0014814814814814814,-0.08731954973944882,0.12157421526989515,0.0,0.0768779794953119,0.007976732429607671,0.0009871668311944718,-0.08211017585018857,0.20885213363421187,0.0,0.06403017313279491,0.006643665219283048,0.0005924170616113745,-0.10684078323906554,0.2283114998845912,0.0,0.019614992347978557,0.014079022424098276,0.4927859237536657,0.14201183431952663,0.2548148148148148
plannerC_path_dev,mono,PKL_gain [scene-z],True,3376,85,0.6851361080414357,0.057874180467310285,0.0029585798816568047,0.6093304613849473,0.7753551911671153,0.0,0.7621106892736463,0.07597576698991954,0.0014814814814814814,0.6992573358011036,0.812740189495085,0.0,0.763816481057514,0.07925233902761229,0.0009871668311944718,0.7089747317631572,0.8277478631908733,0.0,0.7883974391872789,0.08180281872481195,0.011255924170616114,0.7357835923013781,0.8334096566095008,0.0,0.5978633011169101,0.4602034085404938,0.24451377733844062,0.5562130177514792,0.6222222222222222
plannerC_path_dev,mono,TIP_gain [scene-z],True,3376,85,0.6422784238534077,0.054253946005869656,0.0029585798816568047,0.5564189075146942,0.7331224359001426,0.0,0.6814242222861199,0.06793203226560181,0.0014814814814814814,0.6074759106750559,0.7578938510404695,0.0,0.708414622110978,0.07350393346570062,0.0009871668311944718,0.6254102908324118,0.7678137685290357,0.0,0.7359036010698212,0.07635614461065116,0.0005924170616113745,0.6652655785752299,0.8025601842647793,0.0,0.5637826028335263,0.4309634225422672,0.2616665021469819,0.5,0.5955555555555555
plannerC_ade_truth,mono,random,False,2655,85,0.026900226259946133,0.0012222274068370712,,-0.0363573160239468,0.10601799393923672,0.0,0.04558796684332722,0.0023568286843412074,,-0.039192141133062026,0.15040056600533347,0.0,0.07982673780009966,0.004238662350264272,,-0.03734089218989307,0.19853966789020172,0.0,0.15503263828265293,0.00823196619403881,,-0.03006040574019554,0.2591923453202866,0.0,,,,,
