cell,t_cheap,t_full,affected,harm_rate,rho
nuScenes mono Y8 320->640 q_plan,0.55,0.25,1650,0.47575757575757577,0.552974646798606
nuScenes mono Y8 320->640 q_plan,0.55,0.35,1599,0.4815509693558474,0.5351009050085271
nuScenes mono Y8 320->640 q_plan,0.55,0.45,1555,0.4855305466237942,0.5415501161144617
nuScenes mono Y8 320->640 q_plan,0.55,0.55,1491,0.4842387659289068,0.5841449086742222
KITTI mono Y8 320->640 q_traj,0.15,0.15,989,0.40040444893832156,0.479026708796502
KITTI mono Y8 320->640 q_traj,0.15,0.25,957,0.37513061650992685,0.4782008553086967
KITTI mono Y8 320->640 q_traj,0.15,0.35,941,0.3687566418703507,0.483071336091167
KITTI mono Y8 320->640 q_traj,0.15,0.45,936,0.37072649572649574,0.5122447420974513
KITTI mono Y8 320->640 q_traj,0.15,0.55,943,0.37751855779427357,0.5630944314056627
KITTI mono Y8 320->640 q_traj,0.25,0.15,993,0.4431017119838872,0.2766822996567155
KITTI mono Y8 320->640 q_traj,0.25,0.25,957,0.41901776384535006,0.27557156420120077
KITTI mono Y8 320->640 q_traj,0.25,0.35,942,0.4140127388535032,0.27760879301771757
KITTI mono Y8 320->640 q_traj,0.25,0.45,938,0.4157782515991471,0.2968605116634413
KITTI mono Y8 320->640 q_traj,0.25,0.55,940,0.4223404255319149,0.32759170681451155
KITTI mono Y8 320->640 q_traj,0.35,0.15,1054,0.4781783681214421,0.1621657205706636
KITTI mono Y8 320->640 q_traj,0.35,0.25,1016,0.4566929133858268,0.1610082754038597
KITTI mono Y8 320->640 q_traj,0.35,0.35,1002,0.45209580838323354,0.1619888697019342
KITTI mono Y8 320->640 q_traj,0.35,0.45,997,0.4543630892678034,0.17702351307083877
KITTI mono Y8 320->640 q_traj,0.35,0.55,995,0.4592964824120603,0.20043450676141175
KITTI mono Y8 320->640 q_traj,0.45,0.15,1137,0.48284960422163586,0.09962238585381858
KITTI mono Y8 320->640 q_traj,0.45,0.25,1099,0.4640582347588717,0.09852035222756066
KITTI mono Y8 320->640 q_traj,0.45,0.35,1084,0.45940959409594095,0.09898454856918894
KITTI mono Y8 320->640 q_traj,0.45,0.45,1079,0.46153846153846156,0.11071486794225623
KITTI mono Y8 320->640 q_traj,0.45,0.55,1078,0.46660482374768086,0.12607646684487092
KITTI mono Y8 320->640 q_traj,0.55,0.15,1232,0.5089285714285714,0.07071203984743307
KITTI mono Y8 320->640 q_traj,0.55,0.25,1194,0.49246231155778897,0.06974669170726566
KITTI mono Y8 320->640 q_traj,0.55,0.35,1179,0.48854961832061067,0.07000593321852668
KITTI mono Y8 320->640 q_traj,0.55,0.45,1172,0.48976109215017066,0.07110337275439307
KITTI mono Y8 320->640 q_traj,0.55,0.55,1170,0.49401709401709404,0.07894823470551655
KITTI mono Y8 320->640 q_brake,0.15,0.15,3133,0.3925949569103096,0.2717938159138359
KITTI mono Y8 320->640 q_brake,0.15,0.25,2966,0.3607552258934592,0.24041268948164485
KITTI mono Y8 320->640 q_brake,0.15,0.35,2845,0.33497363796133567,0.22657681028024654
KITTI mono Y8 320->640 q_brake,0.15,0.45,2711,0.3032091479158982,0.20769879196460728
KITTI mono Y8 320->640 q_brake,0.15,0.55,2593,0.2741997686077902,0.22085450350076466
KITTI mono Y8 320->640 q_brake,0.25,0.15,3133,0.4075965528247686,0.1955359327097725
KITTI mono Y8 320->640 q_brake,0.25,0.25,2931,0.37495735243944045,0.16865736519231755
KITTI mono Y8 320->640 q_brake,0.25,0.35,2764,0.347684515195369,0.14685430360664653
KITTI mono Y8 320->640 q_brake,0.25,0.45,2583,0.3116531165311653,0.126701729450984
KITTI mono Y8 320->640 q_brake,0.25,0.55,2404,0.27911813643926786,0.12287278103110344
KITTI mono Y8 320->640 q_brake,0.35,0.15,3244,0.406905055487053,0.1540606755753502
KITTI mono Y8 320->640 q_brake,0.35,0.25,3018,0.3750828363154407,0.13039729035977976
KITTI mono Y8 320->640 q_brake,0.35,0.35,2826,0.3471337579617834,0.11142273876821414
KITTI mono Y8 320->640 q_brake,0.35,0.45,2627,0.31328511610201754,0.09377887967719767
KITTI mono Y8 320->640 q_brake,0.35,0.55,2390,0.27656903765690377,0.08024247873583683
KITTI mono Y8 320->640 q_brake,0.45,0.15,3385,0.40088626292466767,0.12563682281671137
KITTI mono Y8 320->640 q_brake,0.45,0.25,3147,0.3701938353987925,0.10333959149079061
KITTI mono Y8 320->640 q_brake,0.45,0.35,2944,0.34273097826086957,0.0865156363214735
KITTI mono Y8 320->640 q_brake,0.45,0.45,2733,0.309915843395536,0.07142616508967606
KITTI mono Y8 320->640 q_brake,0.45,0.55,2488,0.272508038585209,0.05766329947208987
KITTI mono Y8 320->640 q_brake,0.55,0.15,3514,0.39385315879339783,0.10700755498223334
KITTI mono Y8 320->640 q_brake,0.55,0.25,3260,0.3647239263803681,0.08708406941056492
KITTI mono Y8 320->640 q_brake,0.55,0.35,3048,0.338254593175853,0.07231797143639275
KITTI mono Y8 320->640 q_brake,0.55,0.45,2817,0.30564430244941426,0.057969121563740275
KITTI mono Y8 320->640 q_brake,0.55,0.55,2561,0.26903553299492383,0.04510822889195997
KITTI mono Y8 384->640 q_traj,0.15,0.15,777,0.42985842985842987,0.570091804090115
KITTI mono Y8 384->640 q_traj,0.15,0.25,746,0.39946380697050937,0.5694724204003886
KITTI mono Y8 384->640 q_traj,0.15,0.35,734,0.3923705722070845,0.5812877388434717
KITTI mono Y8 384->640 q_traj,0.15,0.45,727,0.39339752407152684,0.6269329493067138
KITTI mono Y8 384->640 q_traj,0.15,0.55,749,0.4032042723631509,0.7131158432189041
KITTI mono Y8 384->640 q_traj,0.25,0.15,735,0.46938775510204084,0.4575883868033743
KITTI mono Y8 384->640 q_traj,0.25,0.25,697,0.4375896700143472,0.45639589841538514
KITTI mono Y8 384->640 q_traj,0.25,0.35,686,0.4314868804664723,0.4665983113025706
KITTI mono Y8 384->640 q_traj,0.25,0.45,679,0.4329896907216495,0.5068406435491744
KITTI mono Y8 384->640 q_traj,0.25,0.55,690,0.4420289855072464,0.5769159095629659
KITTI mono Y8 384->640 q_traj,0.35,0.15,745,0.4899328859060403,0.35299931649180427
KITTI mono Y8 384->640 q_traj,0.35,0.25,703,0.4594594594594595,0.35138638825704827
KITTI mono Y8 384->640 q_traj,0.35,0.35,692,0.45375722543352603,0.3596271869831496
KITTI mono Y8 384->640 q_traj,0.35,0.45,685,0.4554744525547445,0.39280227249061594
KITTI mono Y8 384->640 q_traj,0.35,0.55,692,0.45809248554913296,0.4432281574594071
KITTI mono Y8 384->640 q_traj,0.45,0.15,824,0.4854368932038835,0.25744019861900086
KITTI mono Y8 384->640 q_traj,0.45,0.25,781,0.4558258642765685,0.2558976889653736
KITTI mono Y8 384->640 q_traj,0.45,0.35,766,0.45039164490861616,0.258078245902286
KITTI mono Y8 384->640 q_traj,0.45,0.45,758,0.45118733509234826,0.2756013396613588
KITTI mono Y8 384->640 q_traj,0.45,0.55,755,0.45298013245033114,0.3036629378944163
KITTI mono Y8 384->640 q_traj,0.55,0.15,951,0.491062039957939,0.17714087280541335
KITTI mono Y8 384->640 q_traj,0.55,0.25,908,0.4658590308370044,0.1757187141799049
KITTI mono Y8 384->640 q_traj,0.55,0.35,894,0.4608501118568233,0.1768599378109416
KITTI mono Y8 384->640 q_traj,0.55,0.45,886,0.4616252821670429,0.18623931515399408
KITTI mono Y8 384->640 q_traj,0.55,0.55,877,0.4652223489167617,0.2022311520510834
KITTI mono Y8 384->640 q_brake,0.15,0.15,2881,0.41200971884762233,0.679572678062764
KITTI mono Y8 384->640 q_brake,0.15,0.25,2734,0.3763716166788588,0.6356274325462076
KITTI mono Y8 384->640 q_brake,0.15,0.35,2624,0.35327743902439024,0.6302066541588087
KITTI mono Y8 384->640 q_brake,0.15,0.45,2531,0.324377716317661,0.6356860479865247
KITTI mono Y8 384->640 q_brake,0.15,0.55,2492,0.3017656500802568,0.7328267327027675
KITTI mono Y8 384->640 q_brake,0.25,0.15,2809,0.44179423282306873,0.531627640417124
KITTI mono Y8 384->640 q_brake,0.25,0.25,2606,0.4059861857252494,0.4733476388336609
KITTI mono Y8 384->640 q_brake,0.25,0.35,2464,0.3843344155844156,0.45028716923048107
KITTI mono Y8 384->640 q_brake,0.25,0.45,2316,0.3493091537132988,0.42936685269607067
KITTI mono Y8 384->640 q_brake,0.25,0.55,2173,0.32213529682466635,0.4749946941590991
KITTI mono Y8 384->640 q_brake,0.35,0.15,2833,0.4592304977056124,0.41278428523698424
KITTI mono Y8 384->640 q_brake,0.35,0.25,2605,0.4234165067178503,0.35727788020128665
KITTI mono Y8 384->640 q_brake,0.35,0.35,2434,0.3985209531635168,0.3248316733123535
KITTI mono Y8 384->640 q_brake,0.35,0.45,2231,0.36261766024204395,0.29291080548652504
KITTI mono Y8 384->640 q_brake,0.35,0.55,2044,0.33170254403131116,0.30202362665145926
KITTI mono Y8 384->640 q_brake,0.45,0.15,2935,0.4555366269165247,0.29358128259588095
KITTI mono Y8 384->640 q_brake,0.45,0.25,2696,0.4209940652818991,0.24813113842783957
KITTI mono Y8 384->640 q_brake,0.45,0.35,2512,0.3953025477707006,0.2168288426013807
KITTI mono Y8 384->640 q_brake,0.45,0.45,2277,0.360122968818621,0.1850425782493004
KITTI mono Y8 384->640 q_brake,0.45,0.55,2047,0.32291157791890573,0.17049989469984292
KITTI mono Y8 384->640 q_brake,0.55,0.15,3114,0.44380218368657676,0.1987329939966475
KITTI mono Y8 384->640 q_brake,0.55,0.25,2869,0.4112931334959916,0.1645209447205545
KITTI mono Y8 384->640 q_brake,0.55,0.35,2660,0.38571428571428573,0.13960741203248037
KITTI mono Y8 384->640 q_brake,0.55,0.45,2420,0.3512396694214876,0.1146645199154214
KITTI mono Y8 384->640 q_brake,0.55,0.55,2166,0.31532779316712833,0.09493052622021453
KITTI mono Y8 512->640 q_traj,0.15,0.15,505,0.499009900990099,1.1780086777008547
KITTI mono Y8 512->640 q_traj,0.15,0.25,471,0.4543524416135881,1.1842960987765114
KITTI mono Y8 512->640 q_traj,0.15,0.35,464,0.44396551724137934,1.220570305355143
KITTI mono Y8 512->640 q_traj,0.15,0.45,471,0.45010615711252655,1.3366650137670255
KITTI mono Y8 512->640 q_traj,0.15,0.55,497,0.4607645875251509,1.5256592239556983
KITTI mono Y8 512->640 q_traj,0.25,0.15,488,0.5225409836065574,1.104055761355531
KITTI mono Y8 512->640 q_traj,0.25,0.25,446,0.47757847533632286,1.109126988097385
KITTI mono Y8 512->640 q_traj,0.25,0.35,439,0.46697038724373574,1.1422532389340088
KITTI mono Y8 512->640 q_traj,0.25,0.45,446,0.4730941704035874,1.2524837408425171
KITTI mono Y8 512->640 q_traj,0.25,0.55,469,0.4840085287846482,1.432081297980264
KITTI mono Y8 512->640 q_traj,0.35,0.15,508,0.5196850393700787,0.907093900035095
KITTI mono Y8 512->640 q_traj,0.35,0.25,466,0.47639484978540775,0.9092524346617173
KITTI mono Y8 512->640 q_traj,0.35,0.35,449,0.46547884187082406,0.9330259946582664
KITTI mono Y8 512->640 q_traj,0.35,0.45,450,0.4688888888888889,1.026273948787778
KITTI mono Y8 512->640 q_traj,0.35,0.55,469,0.47974413646055436,1.1874686313077663
KITTI mono Y8 512->640 q_traj,0.45,0.15,545,0.5266055045871559,0.7804004918000657
KITTI mono Y8 512->640 q_traj,0.45,0.25,503,0.4850894632206759,0.7811552526161463
KITTI mono Y8 512->640 q_traj,0.45,0.35,488,0.47540983606557374,0.7987682785466147
KITTI mono Y8 512->640 q_traj,0.45,0.45,488,0.4774590163934426,0.875440631519231
KITTI mono Y8 512->640 q_traj,0.45,0.55,500,0.486,1.009677560160693
KITTI mono Y8 512->640 q_traj,0.55,0.15,636,0.5361635220125787,0.5314218961986183
KITTI mono Y8 512->640 q_traj,0.55,0.25,594,0.5016835016835017,0.5303417359838828
KITTI mono Y8 512->640 q_traj,0.55,0.35,580,0.49482758620689654,0.5390497361207858
KITTI mono Y8 512->640 q_traj,0.55,0.45,581,0.4991394148020654,0.589865680932653
KITTI mono Y8 512->640 q_traj,0.55,0.55,575,0.5043478260869565,0.6661626869322264
KITTI mono Y8 512->640 q_brake,0.15,0.15,2480,0.42943548387096775,0.6426809638506634
KITTI mono Y8 512->640 q_brake,0.15,0.25,2378,0.3961312026913373,0.597185360341878
KITTI mono Y8 512->640 q_brake,0.15,0.35,2336,0.3685787671232877,0.6019527098871345
KITTI mono Y8 512->640 q_brake,0.15,0.45,2345,0.34285714285714286,0.6276328383634933
KITTI mono Y8 512->640 q_brake,0.15,0.55,2384,0.3301174496644295,0.7641525869765499
KITTI mono Y8 512->640 q_brake,0.25,0.15,2455,0.4676171079429735,0.6804723000471393
KITTI mono Y8 512->640 q_brake,0.25,0.25,2266,0.4298323036187114,0.6179504345033725
KITTI mono Y8 512->640 q_brake,0.25,0.35,2164,0.39926062846580407,0.604845731037404
KITTI mono Y8 512->640 q_brake,0.25,0.45,2083,0.3643783005280845,0.6042809029431631
KITTI mono Y8 512->640 q_brake,0.25,0.55,2088,0.34339080459770116,0.7538855505024736
KITTI mono Y8 512->640 q_brake,0.35,0.15,2494,0.4863672814755413,0.6275790494879131
KITTI mono Y8 512->640 q_brake,0.35,0.25,2294,0.45161290322580644,0.5603024967978687
KITTI mono Y8 512->640 q_brake,0.35,0.35,2136,0.4232209737827715,0.5296097729751987
KITTI mono Y8 512->640 q_brake,0.35,0.45,1948,0.38295687885010266,0.49930151689248164
KITTI mono Y8 512->640 q_brake,0.35,0.55,1856,0.35075431034482757,0.6003928929069513
KITTI mono Y8 512->640 q_brake,0.45,0.15,2553,0.5115550332941637,0.5177541897273407
KITTI mono Y8 512->640 q_brake,0.45,0.25,2320,0.48060344827586204,0.4518251431659644
KITTI mono Y8 512->640 q_brake,0.45,0.35,2119,0.4539877300613497,0.4065311770594399
KITTI mono Y8 512->640 q_brake,0.45,0.45,1899,0.41706161137440756,0.3607251735906591
KITTI mono Y8 512->640 q_brake,0.45,0.55,1702,0.3801410105757932,0.3937596590919956
KITTI mono Y8 512->640 q_brake,0.55,0.15,2692,0.5100297176820208,0.3581045720411411
KITTI mono Y8 512->640 q_brake,0.55,0.25,2448,0.48161764705882354,0.3058810916554675
KITTI mono Y8 512->640 q_brake,0.55,0.35,2233,0.4563367666815943,0.2664238062373411
KITTI mono Y8 512->640 q_brake,0.55,0.45,1992,0.4206827309236948,0.2215034833836115
KITTI mono Y8 512->640 q_brake,0.55,0.55,1740,0.3810344827586207,0.20593589957573913
KITTI mono RT-DETR 480->640 q_traj,0.15,0.15,714,0.38235294117647056,0.7808451167198668
KITTI mono RT-DETR 480->640 q_traj,0.15,0.25,704,0.35511363636363635,0.9154091531116608
KITTI mono RT-DETR 480->640 q_traj,0.15,0.35,711,0.340365682137834,1.0058704329902532
KITTI mono RT-DETR 480->640 q_traj,0.15,0.45,719,0.3198887343532684,1.0288536421431578
KITTI mono RT-DETR 480->640 q_traj,0.15,0.55,739,0.32205683355886333,1.1020461644683939
KITTI mono RT-DETR 480->640 q_traj,0.25,0.15,538,0.49256505576208176,0.4881868196509186
KITTI mono RT-DETR 480->640 q_traj,0.25,0.25,492,0.4532520325203252,0.5781172213940101
KITTI mono RT-DETR 480->640 q_traj,0.25,0.35,492,0.4268292682926829,0.6563948925739046
KITTI mono RT-DETR 480->640 q_traj,0.25,0.45,498,0.39156626506024095,0.6766729798458102
KITTI mono RT-DETR 480->640 q_traj,0.25,0.55,519,0.394990366088632,0.750076945060195
KITTI mono RT-DETR 480->640 q_traj,0.35,0.15,533,0.525328330206379,0.3841327921862792
KITTI mono RT-DETR 480->640 q_traj,0.35,0.25,480,0.48541666666666666,0.453967922995796
KITTI mono RT-DETR 480->640 q_traj,0.35,0.35,465,0.4559139784946237,0.5227591912542012
KITTI mono RT-DETR 480->640 q_traj,0.35,0.45,455,0.4175824175824176,0.5405047011098882
KITTI mono RT-DETR 480->640 q_traj,0.35,0.55,469,0.4200426439232409,0.6084339684257553
KITTI mono RT-DETR 480->640 q_traj,0.45,0.15,533,0.549718574108818,0.3448883040424892
KITTI mono RT-DETR 480->640 q_traj,0.45,0.25,477,0.5115303983228512,0.4043616804017632
KITTI mono RT-DETR 480->640 q_traj,0.45,0.35,459,0.48366013071895425,0.46608218286610065
KITTI mono RT-DETR 480->640 q_traj,0.45,0.45,439,0.44874715261959,0.48156638078989433
KITTI mono RT-DETR 480->640 q_traj,0.45,0.55,444,0.44594594594594594,0.5439573276407236
KITTI mono RT-DETR 480->640 q_traj,0.55,0.15,552,0.552536231884058,0.3172964645563641
KITTI mono RT-DETR 480->640 q_traj,0.55,0.25,495,0.5171717171717172,0.3692693612228617
KITTI mono RT-DETR 480->640 q_traj,0.55,0.35,472,0.4936440677966102,0.4254629795567695
KITTI mono RT-DETR 480->640 q_traj,0.55,0.45,448,0.45982142857142855,0.4394579853194085
KITTI mono RT-DETR 480->640 q_traj,0.55,0.55,447,0.45861297539149887,0.49717640885714454
KITTI mono RT-DETR 480->640 q_brake,0.15,0.15,3182,0.42708988057825265,0.6548923291733945
KITTI mono RT-DETR 480->640 q_brake,0.15,0.25,3595,0.3146036161335188,0.3957352326727879
