cell,dataset,system,geometry,moderate_gap_kitti,scheme,split,t_cheap,t_full,n_frames,n_units,cheap_det_per_frame,cheap_precision,cheap_recall,full_det_per_frame,full_precision,full_recall,affected,harmed,harm_rate,harm_rate_lo,harm_rate_hi,rho,rho_lo,rho_hi,all_full_reduction,oracle20_reduction,exact_FN_sign_disagreement,exact_FN_n_both_nonzero,exact_FN_spearman,exact_FN_harmed_given_gain_pos,exact_FN_harmed_given_gain_pos_affected,FN_FP_sign_disagreement,FN_FP_n_both_nonzero,FN_FP_spearman,FN_FP_harmed_given_gain_pos,FN_FP_harmed_given_gain_pos_affected,E5_combined_sign_disagreement,E5_combined_n_both_nonzero,E5_combined_spearman,E5_combined_harmed_given_gain_pos,E5_combined_harmed_given_gain_pos_affected,E_risk_sign_disagreement,E_risk_n_both_nonzero,E_risk_spearman,E_risk_harmed_given_gain_pos,E_risk_harmed_given_gain_pos_affected,brake_vs_plan_both_nonzero,brake_vs_plan_opposite_sign
KITTI mono Y8 320->640 q_brake,KITTI,brake,mono,False,S0,test,0.25,0.25,3536,6,3.654128959276018,0.7120965869514744,0.5124807067965299,6.211538461538462,0.6068566745583682,0.7345255202512108,1431,672,0.469601677148847,0.3267605633802817,0.5487491559351231,0.6027551408527629,0.18119972106701746,1.1034095964319566,0.11217572485198417,0.282082713474646,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 320->640 q_brake,KITTI,brake,mono,False,S1,all,0.25,0.56396484375,8008,21,3.6225024975024973,0.7259126477989589,0.47463900664959435,3.5526973026973026,0.8634446397188049,0.5518517721491747,2388,658,0.27554438860971525,0.1957437055281883,0.3437233844723384,0.13251470145036215,0.034694325971877056,0.5013676335087353,0.48851295080445784,0.5628269442362305,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 320->640 q_brake,KITTI,brake,mono,False,S1,test,0.25,0.56396484375,3536,6,3.654128959276018,0.7120965869514744,0.5124807067965299,3.4881221719457014,0.83760337279066,0.5723029432114535,1110,393,0.35405405405405405,0.32232496697490093,0.3811876371013142,0.6469305700139788,0.2894152557326349,1.058579632592491,0.065520747976744,0.18555403002829157,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 320->640 q_brake,KITTI,brake,mono,False,S2,all,0.2,0.35,8008,21,4.231518481518481,0.665230478663755,0.5074135445135467,5.083791208791209,0.7410282233303038,0.6756116981213282,2777,967,0.34821750090025205,0.2398207386591381,0.4418761998232809,0.17408007316417387,0.04431198867352529,0.6666654616792865,0.48052890291956385,0.5811685502822288,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 320->640 q_brake,KITTI,brake,mono,False,S2,test,0.2,0.35,3536,6,4.262160633484163,0.6478667639838099,0.5431901644579276,5.1218891402714934,0.6975871017613605,0.6972164564372771,1369,602,0.4397370343316289,0.34088200238379024,0.49869451697127937,0.686255220404996,0.2388594054427585,1.1819733204029317,0.07459491100971123,0.23740792705882832,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 320->640 q_brake,KITTI,brake,mono,False,S3,all,0.25,0.3,8008,21,3.6225024975024973,0.7259126477989589,0.47463900664959435,5.557942057942058,0.6997169048260987,0.6968947039962126,2853,1033,0.36207500876270593,0.2461212112605262,0.45750327456581,0.15863196665003507,0.044126417023467764,0.5382966769233564,0.5177062204307803,0.6146731398589195,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 320->640 q_brake,KITTI,brake,mono,False,S3,test,0.25,0.3,3536,6,3.654128959276018,0.7120965869514744,0.5124807067965299,5.633484162895928,0.6526606425702811,0.7171749427856725,1385,635,0.4584837545126354,0.3302540415704388,0.5248151466393622,0.6123047009594995,0.19459973164438904,1.0881350445110873,0.10076051818264214,0.259651466728039,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 320->640 q_brake,KITTI,brake,mono,False,S4,all,0.1,0.5,8008,21,6.753871128871129,0.4815568087270038,0.582495857453356,3.9992507492507494,0.8280771872853306,0.5954722503174159,2800,779,0.2782142857142857,0.22005831151791783,0.33170507474517613,0.28715521162572316,0.0994374478495551,0.669460603609009,0.32020648728238293,0.4473975510859534,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 320->640 q_brake,KITTI,brake,mono,False,S4,test,0.1,0.5,3536,6,7.04920814479638,0.45085452940704485,0.6214274309436373,3.955316742081448,0.7973687973687974,0.6169567300015967,1438,487,0.3386648122392211,0.269281045751634,0.43098487770520116,0.7761044797634983,0.3590592605875,1.0483110508220892,0.05183758388364795,0.22941922492921352,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 384->640 q_traj,KITTI,traj,mono,True,S0,all,0.25,0.25,8008,21,4.4968781218781215,0.7007025631057177,0.5658180722632292,6.131993006993007,0.6535383362183077,0.7171447631754503,697,305,0.4375896700143472,0.3445086617670812,0.5145138594349371,0.4563958984153852,0.16364349777934048,1.2371240741290657,0.06015897019426755,0.1106668805825832,,,,,,,,,,,,,,,,,,,,,,
