track,position,dist,convention,range_err_min,range_err_median,range_err_max,lat_err_median,lat_err_absmax
KITTI,left edge,25.0,G,-0.09591585316629292,-0.060463621705309833,-0.02725240762457304,-0.054981183688273205,0.0739318305525174
KITTI,left edge,25.0,S,-2.7823225198536754,-2.7823225198536754,5.1417477301290795,-1.0947272467256575,5.05049475025859
KITTI,left edge,25.0,T,-1.7018230892167239,-1.7018230892167239,6.240129074564532,-1.3447718148565784,4.79134805911486
KITTI,left edge,50.0,F,-6.0613458446296775,-6.0613458446296775,12.651234332521042,-4.702347704262458,9.828796931207862
KITTI,left edge,50.0,G,-0.289518678482672,-0.18249181379606227,-0.08576340489239698,-0.14960559771551374,0.22446044929108666
KITTI,left edge,50.0,S,-7.1212401789512825,-7.1212401789512825,11.623703642503415,-4.4892541710456655,10.027213976394023
KITTI,left edge,50.0,T,-6.0407407483143345,-6.0407407483143345,12.722084986938867,-4.73929873917659,9.768067285250297
KITTI,right edge,10.0,F,-0.5513206184892798,-0.5513206184892798,0.2731433480804153,0.4279365313022776,0.4279365313022776
KITTI,right edge,10.0,G,-0.036057356922144734,-0.02340438132251066,-0.009501755609019114,0.019070366297262886,0.019070366297262886
KITTI,right edge,10.0,S,-1.6518829399117827,-1.6518829399117827,-0.8462918636934429,0.6762966547689029,0.6762966547689029
KITTI,right edge,10.0,T,-0.571383509274833,-0.571383509274833,0.2913943331383564,0.4262520866379811,0.4262520866379811
KITTI,right edge,25.0,F,-3.514981921602132,-3.514981921602132,2.1379861597608105,2.7239355297031373,2.7239355297031373
KITTI,right edge,25.0,G,-0.09493740082650959,-0.061159736934357056,-0.026964618607927093,0.04882946683970957,0.0625730123480075
KITTI,right edge,25.0,S,-4.62443632859171,-4.62443632859171,1.0299868443187243,2.9597637224336495,2.9597637224336495
KITTI,right edge,25.0,T,-3.543936897954758,-3.543936897954758,2.167673041150522,2.7097191543027286,2.7097191543027286
KITTI,right edge,50.0,F,-12.673750773391646,-12.673750773391646,5.8598747076479825,9.818230502043463,9.818230502043463
KITTI,right edge,50.0,G,-0.2867454119939481,-0.18465837490180093,-0.08489160530572804,0.14464365926114198,0.21177417518811126
KITTI,right edge,50.0,S,-13.794908726998756,-13.794908726998756,4.77050878734503,10.037565202043595,10.037565202043595
KITTI,right edge,50.0,T,-12.714409296361808,-12.714409296361808,5.908194984176831,9.787520633912674,9.787520633912674
nuScenes,axis,10.0,F,-0.4152465949801325,0.25499234131026327,0.25499234131026327,-0.0018708203517876047,0.007323220414531837
nuScenes,axis,10.0,G,-0.05450547103218639,-0.009833566428250506,-0.009833566428250506,-0.0018129024130941855,0.007659208145189631
nuScenes,axis,10.0,S,-2.150228183182487,-1.4372930361643732,-1.4372930361643732,-0.0651906671809628,0.0957621698637147
nuScenes,axis,10.0,T,-0.42822249840248716,0.2634981533756271,0.2634981533756271,-0.04924503476606279,0.0910076369408247
nuScenes,axis,25.0,F,-2.8114108569551206,2.1987394533043947,2.1987394533043947,-0.0011650879157155784,0.007901497041785797
nuScenes,axis,25.0,G,-0.17089399560733654,-0.017626171710098504,-0.017626171710098504,-0.00106381463757561,0.008920916634277652
nuScenes,axis,25.0,S,-4.546588344118987,0.5064539189927117,0.5064539189927117,-0.16072950767802774,0.22320178632810242
nuScenes,axis,25.0,T,-2.8245826593389864,2.2072451085327103,2.2072451085327103,-0.14478387526312775,0.21844725340521243
nuScenes,axis,50.0,F,-10.478559794557036,10.579102780054178,10.579102780054178,-0.0010358298823297633,0.007322034246942852
nuScenes,axis,50.0,G,-0.3648572627713236,-0.030607975895975414,-0.030607975895975414,-0.0008491761698334981,0.009281134356248742
nuScenes,axis,50.0,S,-12.214020789241708,8.886809767662292,8.886809767662292,-0.350208749683659,0.399832057989526
nuScenes,axis,50.0,T,-10.492015104461707,10.58760095720229,10.58760095720229,-0.334263117268759,0.39507752506663596
nuScenes,left edge,10.0,F,-0.694438934994988,0.27813137781968145,0.27813137781968145,0.15988525028018508,0.39550687476173874
nuScenes,left edge,10.0,G,-0.054399273538059845,-0.00983727797004974,-0.00983727797004974,-0.0038934742736431716,0.027368694793277193
nuScenes,left edge,10.0,S,-2.3847320947841038,-1.3864110939811365,-1.3864110939811365,0.09635682006899948,0.4956554042729264
nuScenes,left edge,10.0,T,-0.6627264100041046,0.3143800955588638,0.3143800955588638,0.1123024524838998,0.49090087135003646
nuScenes,left edge,25.0,F,-4.6023774175564505,2.4053662983126216,2.4053662983126216,1.3695033122149844,2.6408596708193777
nuScenes,left edge,25.0,G,-0.17056417204894814,-0.01762084639495498,-0.01762084639495498,-0.008230886195642384,0.09288068744131017
nuScenes,left edge,25.0,S,-6.22742955698698,0.7961766883986954,0.7961766883986954,1.2085341271628973,2.8535229312060437
nuScenes,left edge,25.0,T,-4.505423872206979,2.496967877938694,2.496967877938694,1.2244797595777968,2.8487683982831538
nuScenes,left edge,50.0,F,-16.167064987692534,11.692530217487914,11.692530217487914,6.649842008286669,9.287633364550025
nuScenes,left edge,50.0,G,-0.36415500988552907,-0.030592774454241578,-0.030592774454241578,-0.01558069697678377,0.20378210543293207
nuScenes,left edge,50.0,S,-17.713105490505413,10.194151137887786,10.194151137887786,6.293805311848885,9.636580656315171
nuScenes,left edge,50.0,T,-15.991099805725412,11.894942327427785,11.894942327427785,6.309750944263783,9.63182612339228
