cell,g_variant,arch,constant,n_distinct_test,tie_frac_20,eta20_recomputed,eta20_in_122,matches_122
nuScenes|mono|brake|J,primary,R1_mlp_reg,False,812,0.005235602094240838,0.19098630334364927,0.1909863033436492,True
nuScenes|mono|brake|J,primary,R1_mlp_clf,False,807,0.005235602094240838,0.17854443681731935,0.1785444368173193,True
nuScenes|mono|brake|J,primary,R1_gbm_reg,False,756,0.005235602094240838,0.1808588453464277,0.1808588453464277,True
nuScenes|mono|brake|J,primary,R1_gbm_clf,False,782,0.005235602094240838,0.08200029859914819,0.0820002985991481,True
nuScenes|mono|brake|J,dE_exact,gate_ridge,False,955,0.005235602094240838,0.15460523955232894,0.1546052395523289,True
nuScenes|mono|brake|J,dE_exact,gate_gbm,False,934,0.005235602094240838,-0.09755000844216077,-0.0975500084421607,True
nuScenes|mono|brake|J,dE_exact,R1_mlp_reg,False,812,0.005235602094240838,0.14286043400979384,0.1428604340097938,True
nuScenes|mono|brake|J,dE_exact,R1_mlp_clf,False,780,0.005235602094240838,0.10653789874078955,0.1065378987407895,True
nuScenes|mono|brake|J,dE_exact,R1_gbm_reg,False,742,0.005235602094240838,0.020287677737052277,0.0202876777370522,True
nuScenes|mono|brake|J,dE_exact,R1_gbm_clf,False,777,0.005235602094240838,0.2392333519160576,0.2392333519160576,True
nuScenes|mono|brake|J,dE_E6_risk_weighted,gate_ridge,False,955,0.005235602094240838,0.31993505109251036,0.3199350510925103,True
nuScenes|mono|brake|J,dE_E6_risk_weighted,gate_gbm,False,941,0.005235602094240838,0.3218396445920538,0.3218396445920538,True
nuScenes|mono|brake|J,dE_E6_risk_weighted,R1_mlp_reg,False,812,0.005235602094240838,0.21303589079213683,0.2130358907921368,True
nuScenes|mono|brake|J,dE_E6_risk_weighted,R1_mlp_clf,False,783,0.005235602094240838,0.12955377182643849,0.1295537718264384,True
nuScenes|mono|brake|J,dE_E6_risk_weighted,R1_gbm_reg,False,698,0.005235602094240838,0.16465090111648195,0.1646509011164819,True
nuScenes|mono|brake|J,dE_E6_risk_weighted,R1_gbm_clf,False,767,0.005235602094240838,0.060367922479785355,0.0603679224797853,True
nuScenes|mono|brake|J,V (official),gate_ridge,False,955,0.005235602094240838,,,
nuScenes|mono|brake|J,V (official),gate_gbm,False,840,0.005235602094240838,,,
nuScenes|mono|brake|J,V (official),R1_mlp_reg,False,812,0.005235602094240838,,,
nuScenes|mono|brake|J,V (official),R1_mlp_clf,False,765,0.005235602094240838,,,
nuScenes|mono|brake|J,V (official),R1_gbm_reg,False,331,0.020942408376963352,,,
nuScenes|mono|brake|J,V (official),R1_gbm_clf,False,791,0.005235602094240838,,,
nuScenes|mono|plan_ade|JC_ade,primary,gate_ridge,False,752,0.006666666666666667,0.12713143071494554,0.1271314307149455,True
nuScenes|mono|plan_ade|JC_ade,primary,gate_gbm,False,743,0.006666666666666667,0.24362743171974893,0.2436274317197489,True
nuScenes|mono|plan_ade|JC_ade,primary,R1_mlp_reg,False,653,0.006666666666666667,0.10785609253844565,0.1078560925384456,True
nuScenes|mono|plan_ade|JC_ade,primary,R1_mlp_clf,False,644,0.006666666666666667,0.07293580059901966,0.0729358005990196,True
nuScenes|mono|plan_ade|JC_ade,primary,R1_gbm_reg,False,621,0.006666666666666667,0.21329645001265915,0.2132964500126591,True
nuScenes|mono|plan_ade|JC_ade,primary,R1_gbm_clf,False,631,0.006666666666666667,0.1396491257294124,0.1396491257294124,True
nuScenes|mono|plan_ade|JC_ade,dE_exact,gate_ridge,False,752,0.006666666666666667,0.17940965156051564,0.1794096515605156,True
nuScenes|mono|plan_ade|JC_ade,dE_exact,gate_gbm,False,743,0.006666666666666667,0.25288312383467837,0.2528831238346783,True
nuScenes|mono|plan_ade|JC_ade,dE_exact,R1_mlp_reg,False,653,0.006666666666666667,0.15280724180524777,0.1528072418052477,True
nuScenes|mono|plan_ade|JC_ade,dE_exact,R1_mlp_clf,False,616,0.006666666666666667,0.1111703480923232,0.1111703480923232,True
nuScenes|mono|plan_ade|JC_ade,dE_exact,R1_gbm_reg,False,608,0.006666666666666667,0.15391247756270354,0.1539124775627035,True
nuScenes|mono|plan_ade|JC_ade,dE_exact,R1_gbm_clf,False,632,0.006666666666666667,0.3399245814311168,0.3399245814311168,True
nuScenes|mono|plan_ade|JC_ade,dE_E6_risk_weighted,gate_ridge,False,752,0.006666666666666667,0.23749132616636,0.23749132616636,True
nuScenes|mono|plan_ade|JC_ade,dE_E6_risk_weighted,gate_gbm,False,743,0.006666666666666667,0.2591581305258026,0.2591581305258026,True
nuScenes|mono|plan_ade|JC_ade,dE_E6_risk_weighted,R1_mlp_reg,False,653,0.006666666666666667,0.30861474850964266,0.3086147485096426,True
nuScenes|mono|plan_ade|JC_ade,dE_E6_risk_weighted,R1_mlp_clf,False,640,0.006666666666666667,0.2113698515594461,0.2113698515594461,True
nuScenes|mono|plan_ade|JC_ade,dE_E6_risk_weighted,R1_gbm_reg,False,586,0.006666666666666667,0.34506178167425455,0.3450617816742545,True
nuScenes|mono|plan_ade|JC_ade,dE_E6_risk_weighted,R1_gbm_clf,False,623,0.006666666666666667,0.29318939884225487,0.2931893988422548,True
nuScenes|mono|plan_ade|JC_ade,V (official),gate_ridge,False,752,0.006666666666666667,,,
nuScenes|mono|plan_ade|JC_ade,V (official),gate_gbm,False,735,0.006666666666666667,,,
nuScenes|mono|plan_ade|JC_ade,V (official),R1_mlp_reg,False,653,0.006666666666666667,,,
nuScenes|mono|plan_ade|JC_ade,V (official),R1_mlp_clf,False,629,0.006666666666666667,,,
nuScenes|mono|plan_ade|JC_ade,V (official),R1_gbm_reg,False,619,0.006666666666666667,,,
nuScenes|mono|plan_ade|JC_ade,V (official),R1_gbm_clf,False,634,0.006666666666666667,,,
nuScenes|mono|plan_fde|JC_fde,primary,gate_ridge,False,752,0.006666666666666667,0.05665560308896855,0.0566556030889685,True
nuScenes|mono|plan_fde|JC_fde,primary,gate_gbm,False,743,0.006666666666666667,0.14676860301267652,0.1467686030126765,True
nuScenes|mono|plan_fde|JC_fde,primary,R1_mlp_reg,False,653,0.006666666666666667,0.02111109385172619,0.0211110938517261,True
nuScenes|mono|plan_fde|JC_fde,primary,R1_mlp_clf,False,644,0.006666666666666667,-0.0538788895643541,-0.0538788895643541,True
nuScenes|mono|plan_fde|JC_fde,primary,R1_gbm_reg,False,621,0.006666666666666667,0.07494559105600787,0.0749455910560078,True
nuScenes|mono|plan_fde|JC_fde,primary,R1_gbm_clf,False,631,0.006666666666666667,0.03519234353156189,0.0351923435315618,True
nuScenes|mono|plan_fde|JC_fde,dE_exact,gate_ridge,False,752,0.006666666666666667,0.09390324467909256,0.0939032446790925,True
nuScenes|mono|plan_fde|JC_fde,dE_exact,gate_gbm,False,743,0.006666666666666667,0.1274738855777712,0.1274738855777712,True
nuScenes|mono|plan_fde|JC_fde,dE_exact,R1_mlp_reg,False,653,0.006666666666666667,0.09450843520697459,0.0945084352069745,True
nuScenes|mono|plan_fde|JC_fde,dE_exact,R1_mlp_clf,False,616,0.006666666666666667,0.03268639312388385,0.0326863931238838,True
nuScenes|mono|plan_fde|JC_fde,dE_exact,R1_gbm_reg,False,608,0.006666666666666667,0.011400970452840947,0.0114009704528409,True
nuScenes|mono|plan_fde|JC_fde,dE_exact,R1_gbm_clf,False,632,0.006666666666666667,0.19921396611039402,0.199213966110394,True
nuScenes|mono|plan_fde|JC_fde,dE_E6_risk_weighted,gate_ridge,False,752,0.006666666666666667,0.07912308517341292,0.0791230851734129,True
nuScenes|mono|plan_fde|JC_fde,dE_E6_risk_weighted,gate_gbm,False,743,0.006666666666666667,0.10439326661797617,0.1043932666179761,True
nuScenes|mono|plan_fde|JC_fde,dE_E6_risk_weighted,R1_mlp_reg,False,653,0.006666666666666667,0.22578450235596215,0.2257845023559621,True
nuScenes|mono|plan_fde|JC_fde,dE_E6_risk_weighted,R1_mlp_clf,False,640,0.006666666666666667,0.11691884654292918,0.1169188465429291,True
nuScenes|mono|plan_fde|JC_fde,dE_E6_risk_weighted,R1_gbm_reg,False,586,0.006666666666666667,0.19104476284844146,0.1910447628484414,True
nuScenes|mono|plan_fde|JC_fde,dE_E6_risk_weighted,R1_gbm_clf,False,623,0.006666666666666667,0.13800046859327691,0.1380004685932769,True
nuScenes|mono|plan_fde|JC_fde,V (official),gate_ridge,False,752,0.006666666666666667,,,
nuScenes|mono|plan_fde|JC_fde,V (official),gate_gbm,False,738,0.006666666666666667,,,
nuScenes|mono|plan_fde|JC_fde,V (official),R1_mlp_reg,False,653,0.006666666666666667,,,
nuScenes|mono|plan_fde|JC_fde,V (official),R1_mlp_clf,False,585,0.006666666666666667,,,
nuScenes|mono|plan_fde|JC_fde,V (official),R1_gbm_reg,False,620,0.006666666666666667,,,
nuScenes|mono|plan_fde|JC_fde,V (official),R1_gbm_clf,False,638,0.006666666666666667,,,
KITTI|oracle|brake|J,primary,gate_ridge,False,3536,0.0014144271570014145,0.11509146012020234,0.1150914601202023,True
KITTI|oracle|brake|J,primary,gate_gbm,False,3383,0.0014144271570014145,0.08892648972725953,0.0889264897272595,True
