task,variant,signal,quota,eta,eta_lo,eta_hi,reduction_frac
plannerC_path_dev,mono,uncertainty [scene-z],0.3,-0.087972358134543,-0.25031502946946077,0.015049663499110725,-0.009350298584121976
plannerC_path_dev,mono,uncertainty [scene-z],0.5,-0.026663523522741473,-0.24946780141270647,0.14082200370060266,-0.00283416199997986
plannerC_path_dev,mono,criticality [scene-z],0.1,0.01953042867583626,-0.07585153078582971,0.08739093874689266,0.0016572088556879305
plannerC_path_dev,mono,criticality [scene-z],0.2,0.07999586775752508,-0.01706895678460729,0.16211452151727393,0.008093154777043777
plannerC_path_dev,mono,criticality [scene-z],0.3,0.03962689451339126,-0.0976160618518639,0.1708128378540242,0.004211814978234902
plannerC_path_dev,mono,criticality [scene-z],0.5,0.05485988423030367,-0.15129198811706845,0.24143648606190465,0.005831254788070665
plannerC_path_dev,mono,perception_oracle_dE [scene-z],0.1,0.03606273580379758,-0.0718751083937415,0.12851406250946526,0.003060019118183978
plannerC_path_dev,mono,perception_oracle_dE [scene-z],0.2,0.07131787173903792,-0.0979485804925049,0.21589702434566072,0.007215204866617564
plannerC_path_dev,mono,perception_oracle_dE [scene-z],0.3,0.12775566023659699,-0.1045469726802993,0.30880281204193044,0.013578737621161605
plannerC_path_dev,mono,perception_oracle_dE [scene-z],0.5,0.07614865835657718,-0.18407025183912837,0.27726309633204643,0.008094115306238043
plannerC_path_dev,mono,best_dE_metric (E6_risk_weighted) [scene-z],0.1,0.12537306255082692,-0.06422393972270947,0.32294644567760766,0.010638238052655076
plannerC_path_dev,mono,best_dE_metric (E6_risk_weighted) [scene-z],0.2,0.06141617488628427,-0.17998422317244123,0.2655663895646187,0.006213453558317465
plannerC_path_dev,mono,best_dE_metric (E6_risk_weighted) [scene-z],0.3,0.09265871912096765,-0.1395558765901039,0.3026285528284784,0.009848396798438743
plannerC_path_dev,mono,best_dE_metric (E6_risk_weighted) [scene-z],0.5,0.04937137489920367,-0.1864636853637839,0.2753167883798124,0.005247861352860527
plannerC_path_dev,mono,multimetric_dE_oracle [scene-z],0.1,0.036218081028302124,-0.0829945222769439,0.1294506791021415,0.003073200573952856
plannerC_path_dev,mono,multimetric_dE_oracle [scene-z],0.2,0.07719606681816718,-0.05416343441177705,0.20342044322380545,0.00780989986672993
plannerC_path_dev,mono,multimetric_dE_oracle [scene-z],0.3,0.08474433590808704,-0.08504129500961088,0.21173047941201487,0.009007202499242858
plannerC_path_dev,mono,multimetric_dE_oracle [scene-z],0.5,0.038872842676351084,-0.2099147632981474,0.20446159270155104,0.0041319345303535504
plannerC_path_dev,mono,PKL_gain [scene-z],0.1,0.7415086853724863,0.6771368617695275,0.797691102410584,0.06291898556682259
plannerC_path_dev,mono,PKL_gain [scene-z],0.2,0.7509649887096912,0.6800257682764047,0.8047769263036406,0.07597487290456632
plannerC_path_dev,mono,PKL_gain [scene-z],0.3,0.7548627870635419,0.7046315105908217,0.8073813445899455,0.08023193419792113
plannerC_path_dev,mono,PKL_gain [scene-z],0.5,0.7823987451435617,0.7358572874811585,0.8281837725890707,0.08316398207560745
plannerC_path_dev,mono,TIP_gain [scene-z],0.1,0.6914327905088837,0.6196141761725662,0.763984504096265,0.05866991260473582
plannerC_path_dev,mono,TIP_gain [scene-z],0.2,0.7320818491772105,0.666285089551342,0.7876707288873454,0.07406447209016295
plannerC_path_dev,mono,TIP_gain [scene-z],0.3,0.7263016736891887,0.6648183133292453,0.7867240643263983,0.07719626545369201
plannerC_path_dev,mono,TIP_gain [scene-z],0.5,0.7658321710935408,0.6964670917484864,0.8162479593640936,0.08140306122047831
plannerC_ade_truth,mono,random,0.1,0.025902713388674715,-0.03203705002721665,0.10477847724529249,0.0011946813818655994
plannerC_ade_truth,mono,random,0.2,0.04517136365335932,-0.03204932340004707,0.14793094315294114,0.002400003458999562
plannerC_ade_truth,mono,random,0.3,0.08138925236612622,-0.02562604722015485,0.20825853412901704,0.004502172802945189
plannerC_ade_truth,mono,random,0.5,0.15427487567827214,-0.016510785439304426,0.27132573935729914,0.008534911137324288
