task,variant,signal,quota,eta,eta_lo,eta_hi,reduction_frac
longitudinal,oracle,perception_oracle_dE [scene-z],0.5,0.5189343629103674,0.23017279400888352,0.7240417421952561,0.12747136166196962
longitudinal,oracle,best_dE_metric (E6_risk_weighted) [scene-z],0.1,0.5138821787575749,0.3191576345077297,0.6546754492955584,0.1262303399849474
longitudinal,oracle,best_dE_metric (E6_risk_weighted) [scene-z],0.2,0.5455237243421064,0.27510309097545604,0.7331517303824351,0.13400278904407084
longitudinal,oracle,best_dE_metric (E6_risk_weighted) [scene-z],0.3,0.569062205563362,0.32977722984184327,0.7470344547697347,0.13978479630198373
longitudinal,oracle,best_dE_metric (E6_risk_weighted) [scene-z],0.5,0.6781399705938684,0.4788409109080319,0.8181574229922275,0.16657872676652813
longitudinal,oracle,multimetric_dE_oracle [scene-z],0.1,0.4663513348090178,0.2986761194219612,0.6462015872244715,0.11455483373193083
longitudinal,oracle,multimetric_dE_oracle [scene-z],0.2,0.5214518390868126,0.3098877090314102,0.6712246794819187,0.1280897560854248
longitudinal,oracle,multimetric_dE_oracle [scene-z],0.3,0.5936828487083589,0.4358472589841638,0.7074344224573194,0.14583262649207712
longitudinal,oracle,multimetric_dE_oracle [scene-z],0.5,0.6894930185754322,0.5306103332412436,0.7965623192998736,0.16936749657762193
longitudinal,oracle,PKL_gain [scene-z],0.1,0.16216715827926798,-0.020907457059290986,0.2939493841063178,0.03983484224628412
longitudinal,oracle,PKL_gain [scene-z],0.2,0.2892943694914919,0.04499104807768809,0.4796518603202913,0.07106244996651137
longitudinal,oracle,PKL_gain [scene-z],0.3,0.33088609551633474,0.09415231931083073,0.5627779147586889,0.08127906757596044
longitudinal,oracle,PKL_gain [scene-z],0.5,0.5057975181163195,0.2757895117313995,0.6847718323012622,0.12424441888553127
longitudinal,oracle,TIP_gain [scene-z],0.1,0.11920024208396242,-0.03990386176513328,0.2912046779279192,0.029280422062748588
longitudinal,oracle,TIP_gain [scene-z],0.2,0.1886607939563458,-0.07693723608871963,0.4329396681176794,0.04634275549410381
longitudinal,oracle,TIP_gain [scene-z],0.3,0.2845453374984709,-0.031040307992693212,0.514201617238656,0.06989589477573244
longitudinal,oracle,TIP_gain [scene-z],0.5,0.3397595954647463,0.057158278577246854,0.5937858951122256,0.0834587596564535
lateral,oracle,random,0.1,0.023184506409738972,-0.31715798352280417,0.23247172358858792,0.0016821425293853352
lateral,oracle,random,0.2,0.07193138071543394,-0.4968710398576578,0.35097974956989375,0.005218952371054678
lateral,oracle,random,0.3,0.05572709346300141,-0.5888454423259435,0.37049103452784793,0.004043256832665155
lateral,oracle,random,0.5,0.0327003325408049,-0.9125083816075861,0.5011172794584876,0.0023725594636263146
lateral,oracle,uncertainty,0.1,0.19344386351192316,0.0,0.5882888692760885,0.014035241644192571
lateral,oracle,uncertainty,0.2,0.27252839634226195,-0.7035887329679029,0.6214815008367147,0.019773188087365584
lateral,oracle,uncertainty,0.3,0.10730727511366406,-0.9078126188666698,0.5184974658921433,0.007785636148170177
lateral,oracle,uncertainty,0.5,-0.012381317400198369,-1.616451251718384,0.4873784262544015,-0.0008983214997384469
lateral,oracle,criticality,0.1,-0.28592199084253017,-1.7423047628433026,0.26428030896555343,-0.02074495494459653
lateral,oracle,criticality,0.2,-0.1601038760259857,-1.702979112507684,0.40545043060748676,-0.011616272273522165
lateral,oracle,criticality,0.3,-0.17868471906168373,-1.6611594170850905,0.47739890556623055,-0.012964397860058336
lateral,oracle,criticality,0.5,0.016414132813156224,-1.5513912286367033,0.5933059703125332,0.001190920798572235
lateral,oracle,perception_oracle_dE,0.1,0.20350697650212998,0.0,0.5341482838752367,0.014765366756182285
lateral,oracle,perception_oracle_dE,0.2,0.2401894674161999,-0.005957369199883904,0.6531913546854593,0.017426850117520012
lateral,oracle,perception_oracle_dE,0.3,0.19856369088537285,-0.39553602872666904,0.57446541828337,0.014406708658231447
lateral,oracle,perception_oracle_dE,0.5,0.043966823867107326,-1.3008897653350606,0.5957360630923005,0.0031899952063585094
lateral,oracle,best_dE_metric (E4_localization),0.1,0.18781489644968333,0.0,0.552084815634693,0.0136268342049932
lateral,oracle,best_dE_metric (E4_localization),0.2,0.3412228014228169,0.08486721620311087,0.7089219953119388,0.024757282994311094
lateral,oracle,best_dE_metric (E4_localization),0.3,0.3412228014228169,0.11884231967711259,0.7089219953119388,0.024757282994311094
lateral,oracle,best_dE_metric (E4_localization),0.5,0.0915802341460852,-1.258767507994571,0.6260175054681434,0.006644567021857569
lateral,oracle,multimetric_dE_oracle,0.1,-0.09195035106077,-0.8148203339622215,0.20098920012501667,-0.006671420705607967
lateral,oracle,multimetric_dE_oracle,0.2,-0.20658465486871386,-1.2590944640129749,0.21100531671791944,-0.014988666471117138
lateral,oracle,multimetric_dE_oracle,0.3,-0.20658465486871386,-1.2590944640129749,0.21100531671791944,-0.014988666471117138
lateral,oracle,multimetric_dE_oracle,0.5,-0.0038503698389390573,-1.0392572225429708,0.40685152916454703,-0.0002793620336562892
lateral,oracle,PKL_gain,0.1,0.038152895708088996,-0.8253270120818602,0.521180463670907,0.002768167989240462
lateral,oracle,PKL_gain,0.2,0.13961572848612186,-0.7465750305891514,0.6302316670468955,0.010129762976492257
lateral,oracle,PKL_gain,0.3,0.14162219457881425,-0.9159332856557505,0.6384133260431455,0.010275341316122972
lateral,oracle,PKL_gain,0.5,0.14394479995827716,-0.9399397616984915,0.6305416785258284,0.01044385701444004
lateral,oracle,TIP_gain,0.1,-0.07487622559719874,-1.1185549665529382,0.36003339543746177,-0.0054326144059720334
lateral,oracle,TIP_gain,0.2,0.0467115133076264,-0.9391590590597441,0.514092388130905,0.0033891350438110136
lateral,oracle,TIP_gain,0.3,0.13233177306096258,-0.9291278052203197,0.6226763722060604,0.009601278522854695
lateral,oracle,TIP_gain,0.5,0.1346543784404255,-0.9449585496743702,0.6215365142873294,0.009769794221171763
lateral,oracle,decision_oracle_dJ,0.1,1.0,1.0,1.0,0.07255459743920743
lateral,oracle,decision_oracle_dJ,0.2,1.0,1.0,1.0,0.07255459743920743
lateral,oracle,decision_oracle_dJ,0.3,1.0,1.0,1.0,0.07255459743920743
lateral,oracle,decision_oracle_dJ,0.5,1.0,1.0,1.0,0.07255459743920743
