cell,dataset,system,geometry,moderate_gap_kitti,scheme,split,t_cheap,t_full,history,n_frames,n_units,cheap_det_per_frame,cheap_precision,cheap_recall,full_det_per_frame,full_precision,full_recall,affected,harmed,harm_rate,harm_rate_lo,harm_rate_hi,rho,rho_lo,rho_hi,all_full_reduction,oracle20_reduction,exact_FN_sign_disagreement,exact_FN_n_both_nonzero,exact_FN_spearman,exact_FN_harmed_given_gain_pos,exact_FN_harmed_given_gain_pos_affected,FN_FP_sign_disagreement,FN_FP_n_both_nonzero,FN_FP_spearman,FN_FP_harmed_given_gain_pos,FN_FP_harmed_given_gain_pos_affected,E5_combined_sign_disagreement,E5_combined_n_both_nonzero,E5_combined_spearman,E5_combined_harmed_given_gain_pos,E5_combined_harmed_given_gain_pos_affected,E_risk_sign_disagreement,E_risk_n_both_nonzero,E_risk_spearman,E_risk_harmed_given_gain_pos,E_risk_harmed_given_gain_pos_affected,brake_vs_plan_both_nonzero,brake_vs_plan_opposite_sign
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S0,all,0.25,0.25,none,2655,85,2.609416195856874,0.6551674364896074,0.33239841291558353,4.2531073446327685,0.582624867162593,0.48310302366944863,1179,600,0.5089058524173028,0.4731969046506571,0.5439911281905304,0.7035475557548901,0.5039846608455917,0.9904944999574457,0.01311285377199777,0.04408754193960015,0.5037220843672456,806.0,0.01600197681526124,0.3104575163398693,0.5059920106524634,0.4979035639412998,954.0,0.016234268400593728,0.30342384887839435,0.50293542074364,0.5004291845493563,1165.0,0.00720089193047374,0.26591107236268524,0.5066445182724253,0.5098870056497176,708.0,0.006725118118007388,0.3230769230769231,0.5048076923076923,79.0,40.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S0,test,0.25,0.25,none,752,24,2.074468085106383,0.6685897435897435,0.31918554631488383,3.3856382978723403,0.6099764336213669,0.4794952681388013,302,156,0.5165562913907285,0.457666815942678,0.5885119758775672,1.0291579012482304,0.6389645135869312,1.6967301708055753,-0.0008377967267429604,0.028733094320147645,0.5309278350515464,194.0,-0.0069594033228783025,0.31788079470198677,0.5274725274725275,0.5394190871369294,241.0,-0.05020539866067231,0.3232758620689655,0.539568345323741,0.5476190476190477,294.0,-0.08526886865442851,0.2830188679245283,0.5555555555555556,0.5163398692810458,153.0,-0.0282910142373202,0.32075471698113206,0.5,16.0,9.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S1,all,0.25,0.498046875,none,2655,85,2.609416195856874,0.6551674364896074,0.33239841291558353,2.6365348399246704,0.7651428571428571,0.39430838692023534,1025,515,0.5024390243902439,0.46808307423438805,0.5395264382960036,0.7817422968485065,0.5642970698268044,1.0912817941362611,0.007793179158059955,0.03570631893184857,0.5023255813953489,645.0,0.006057430278057536,0.30671736375158426,0.5031185031185031,0.5185185185185185,864.0,-0.02060487164053355,0.3087971274685817,0.5196374622356495,0.5253227408142999,1007.0,-0.024594348771810944,0.2511816340310601,0.5181058495821727,0.506514657980456,614.0,0.005038253876332858,0.31946508172362553,0.508274231678487,68.0,36.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S1,test,0.25,0.498046875,none,752,24,2.074468085106383,0.6685897435897435,0.31918554631488383,2.1941489361702127,0.7672727272727272,0.3934614281617436,271,137,0.5055350553505535,0.44538793103448276,0.5641263940520446,1.4655170406280584,0.879505985696969,2.419945649893307,-0.009103470951810954,0.019555612700082665,0.5732484076433121,157.0,-0.08017169167644737,0.35353535353535354,0.5555555555555556,0.5777777777777777,225.0,-0.10913839625651366,0.34385964912280703,0.5568181818181818,0.5741444866920152,263.0,-0.1099177291723543,0.2654639175257732,0.553763440860215,0.5597014925373134,134.0,-0.06258861582125763,0.33793103448275863,0.5268817204301075,17.0,14.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S2,all,0.25,0.4,none,2655,85,2.609416195856874,0.6551674364896074,0.33239841291558353,3.143879472693032,0.7046843177189409,0.43364345327678205,1070,536,0.5009345794392523,0.4665397217677343,0.5340938378631678,0.7126458127432282,0.5304611369826963,0.9821558189797698,0.010480571698282273,0.03647262187990261,0.5058139534883721,688.0,-0.0006514345217755296,0.3055555555555556,0.5025380710659898,0.5230596175478065,889.0,-0.026530743497543037,0.31431244153414406,0.5185185185185185,0.5256653992395437,1052.0,-0.031138830039847385,0.26222537207654145,0.5174825174825175,0.5110759493670886,632.0,-0.004848449039412746,0.3204488778054863,0.5049115913555993,64.0,34.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S2,test,0.25,0.4,none,752,24,2.074468085106383,0.6685897435897435,0.31918554631488383,2.583776595744681,0.7143592382913021,0.43016919988528823,273,140,0.5128205128205128,0.455326864342681,0.5714424680377987,1.3733059183970495,0.7874728968991566,2.416683156833976,-0.007648842250205149,0.020489474913895703,0.5680473372781065,169.0,-0.06495741535370553,0.3292181069958848,0.54421768707483,0.5648148148148148,216.0,-0.08255766270594182,0.3208955223880597,0.5375,0.5703422053231939,263.0,-0.10732429880287603,0.2608695652173913,0.5581395348837209,0.5401459854014599,137.0,-0.03714463379913353,0.31976744186046513,0.5045871559633027,14.0,11.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S3,all,0.25,0.34,none,2655,85,2.609416195856874,0.6551674364896074,0.33239841291558353,3.4990583804143127,0.6618945102260495,0.4528663291831988,1104,554,0.5018115942028986,0.4700335048057398,0.5346835425341,0.7165264348716345,0.5339810128603427,0.9801164849968088,0.01107985955257628,0.03906619678969087,0.510958904109589,730.0,-0.003970232132513658,0.3102803738317757,0.5084226646248086,0.5162374020156775,893.0,-0.019205813044680498,0.31162324649298595,0.5123558484349259,0.5174953959484346,1086.0,-0.0245525740738154,0.2636704119850187,0.5138686131386861,0.517503805175038,657.0,-0.015108482717521502,0.32560834298957125,0.5090579710144928,74.0,40.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S3,test,0.25,0.34,none,752,24,2.074468085106383,0.6685897435897435,0.31918554631488383,2.8404255319148937,0.6807116104868914,0.45110410094637227,284,145,0.5105633802816901,0.45258302713397397,0.578952850877193,1.064636932767841,0.6733087467923594,1.7395482519260315,-0.0017201105905531586,0.026611884520129452,0.5393258426966292,178.0,-0.02534125022640773,0.3076923076923077,0.5283018867924528,0.5336322869955157,223.0,-0.04779280166107099,0.30038022813688214,0.5163398692810458,0.5547445255474452,274.0,-0.08387129714779258,0.25842696629213485,0.5508982035928144,0.5352112676056338,142.0,-0.030422097428095665,0.31746031746031744,0.5042016806722689,17.0,12.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S4,all,0.2,0.3,none,2655,85,3.099058380414313,0.5854399611084103,0.3519633328772746,3.8177024482109227,0.6250986582478295,0.4659324120946778,1182,585,0.4949238578680203,0.46438235772834974,0.5267841998178461,0.6720253000057418,0.5129459655499227,0.887715169218954,0.014696650864859806,0.0445351501851056,0.49324324324324326,740.0,0.012565121710556886,0.3104106972301815,0.4954268292682927,0.5142857142857142,980.0,-0.006656203413379506,0.30831826401446655,0.5074404761904762,0.5081967213114754,1159.0,-0.016075174876586412,0.2671428571428571,0.5013404825737265,0.4961948249619482,657.0,0.0015670808520666885,0.32335329341317365,0.4927007299270073,90.0,51.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S4,test,0.2,0.3,none,752,24,2.4507978723404253,0.603906673901248,0.3404072268425581,3.0638297872340425,0.6493055555555556,0.4634356180097505,300,155,0.5166666666666667,0.45864662921348315,0.5817454446918209,0.9251080981630719,0.6156663534006954,1.465539180500027,0.0023427981534198798,0.031282396306628164,0.532967032967033,182.0,-0.01811224254546,0.3269961977186312,0.5308641975308642,0.5673469387755102,245.0,-0.07445803205323459,0.33687943262411346,0.5523255813953488,0.5778546712802768,289.0,-0.10960836506149411,0.2978142076502732,0.5706806282722513,0.5179856115107914,139.0,-0.024091326298104666,0.3313953488372093,0.504424778761062,14.0,10.0
