table,frames,touched,touched_share,excluded_via_state,compared,differing_among_compared,differing_among_untouched_strict,moved_frames_total,ok,strict_ok,gated
calibration_outcomes/kitti_y8_320_oracle__c0.600000__f0.600000.npz braking,8008,2211,0.2760989010989011,567,5230,0,8,58,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.600000__f0.600000.npz lateral,8008,2211,0.2760989010989011,567,5230,0,8,125,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.600000__f0.600000.npz Planner B,8008,2211,0.2760989010989011,567,5230,1,7,71,False,False,False
calibration_outcomes/kitti_y8_320_oracle__c0.650000__f0.650000.npz braking,8008,1734,0.21653346653346653,485,5789,0,4,40,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.650000__f0.650000.npz lateral,8008,1734,0.21653346653346653,485,5789,0,5,103,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.650000__f0.650000.npz Planner B,8008,1734,0.21653346653346653,485,5789,0,3,57,True,False,False
calibration_outcomes/kitti_y8_320_oracle__c0.700000__f0.700000.npz braking,8008,1340,0.16733266733266733,388,6280,0,1,27,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.700000__f0.700000.npz lateral,8008,1340,0.16733266733266733,388,6280,0,3,93,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.700000__f0.700000.npz Planner B,8008,1340,0.16733266733266733,388,6280,0,3,48,True,False,False
realism_outcomes/outcomes__RT_320__oracle__n1.csv.gz braking,8008,7500,0.9365634365634365,125,383,0,3,822,True,False,True
realism_outcomes/outcomes__RT_320__oracle__n1.csv.gz Planner B,8008,7500,0.9365634365634365,125,383,0,4,473,True,False,False
realism_outcomes/outcomes__RT_480__oracle__n1.csv.gz braking,8008,7528,0.9400599400599401,114,366,0,4,847,True,False,True
realism_outcomes/outcomes__RT_480__oracle__n1.csv.gz Planner B,8008,7528,0.9400599400599401,114,366,0,3,318,True,False,False
realism_outcomes/outcomes__Y8_320__oracle__n1.csv.gz braking,8008,5839,0.7291458541458542,582,1587,0,7,334,True,False,True
realism_outcomes/outcomes__Y8_320__oracle__n1.csv.gz Planner B,8008,5839,0.7291458541458542,582,1587,2,18,293,False,False,False
realism_outcomes/outcomes__Y8_320__oracle__n2.csv.gz braking,8008,4911,0.6132617382617382,537,2560,0,11,269,True,False,True
realism_outcomes/outcomes__Y8_320__oracle__n2.csv.gz Planner B,8008,4911,0.6132617382617382,537,2560,0,9,196,True,False,False
realism_outcomes/outcomes__Y8_320__oracle__n3.csv.gz braking,8008,4911,0.6132617382617382,537,2560,0,6,221,True,False,True
realism_outcomes/outcomes__Y8_320__oracle__n3.csv.gz Planner B,8008,4911,0.6132617382617382,537,2560,0,7,177,True,False,False
realism_outcomes/outcomes__Y8_384__oracle__n1.csv.gz braking,8008,5879,0.7341408591408591,555,1574,0,1,315,True,False,True
realism_outcomes/outcomes__Y8_384__oracle__n1.csv.gz Planner B,8008,5879,0.7341408591408591,555,1574,1,10,205,False,False,False
realism_outcomes/outcomes__Y8_512__oracle__n1.csv.gz braking,8008,5854,0.731018981018981,533,1621,0,7,349,True,False,True
realism_outcomes/outcomes__Y8_512__oracle__n1.csv.gz Planner B,8008,5854,0.731018981018981,533,1621,0,10,187,True,False,False
