track,geometry,system,target,setting,quota,arch,eta,official,ok
KITTI,oracle,traj,JB,quota,0.2,R1_mlp_reg,0.40693569707550425,0.4069356970755042,True
KITTI,oracle,traj,JB,quota,0.3,R1_mlp_reg,0.531986065803849,0.531986065803849,True
KITTI,oracle,traj,JB,quota,0.5,R1_mlp_reg,0.6960156842166821,0.6960156842166821,True
KITTI,oracle,traj,JB,quota,0.1,R1_mlp_clf,0.2628628499241461,0.2628628499241461,True
KITTI,oracle,traj,JB,quota,0.2,R1_mlp_clf,0.41856356327646405,0.418563563276464,True
KITTI,oracle,traj,JB,quota,0.3,R1_mlp_clf,0.6917594149687517,0.6917594149687517,True
KITTI,oracle,traj,JB,quota,0.5,R1_mlp_clf,0.8487161634247808,0.8487161634247808,True
KITTI,oracle,traj,JB,quota,0.1,R1_gbm_reg,0.28791598600877155,0.2879159860087715,True
KITTI,oracle,traj,JB,quota,0.2,R1_gbm_reg,0.5011601531471864,0.5011601531471864,True
KITTI,oracle,traj,JB,quota,0.3,R1_gbm_reg,0.7278861024035764,0.7278861024035764,True
KITTI,oracle,traj,JB,quota,0.5,R1_gbm_reg,0.8400682521791928,0.8400682521791928,True
KITTI,oracle,traj,JB,quota,0.1,R1_gbm_clf,0.3002695994123193,0.3002695994123193,True
KITTI,oracle,traj,JB,quota,0.2,R1_gbm_clf,0.45340869264812345,0.4534086926481234,True
KITTI,oracle,traj,JB,quota,0.3,R1_gbm_clf,0.6800972079522944,0.6800972079522944,True
KITTI,oracle,traj,JB,quota,0.5,R1_gbm_clf,0.843867246476792,0.843867246476792,True
KITTI,oracle,traj,JB,budget_ms_20,0.2,gate_ridge,,,True
KITTI,oracle,traj,JB,budget_ms_20,0.2,gate_gbm,,,True
KITTI,oracle,traj,JB,budget_ms_20,0.2,R1_mlp_reg,0.357107150780324,0.357107150780324,True
KITTI,oracle,traj,JB,budget_ms_20,0.2,R1_mlp_clf,0.36298767125835624,0.3629876712583562,True
KITTI,oracle,traj,JB,budget_ms_20,0.2,R1_gbm_reg,,,True
KITTI,oracle,traj,JB,budget_ms_20,0.2,R1_gbm_clf,,,True
KITTI,oracle,traj,JB,budget_ms_20,0.2,gate_gbm_batched,0.016975144280339284,0.0169751442803392,True
KITTI,mono,brake,J,quota,0.1,gate_ridge,0.0388046436898543,0.0388046436898543,True
KITTI,mono,brake,J,quota,0.2,gate_ridge,0.15555884403749493,0.1555588440374949,True
KITTI,mono,brake,J,quota,0.3,gate_ridge,0.23948462655618757,0.2394846265561875,True
KITTI,mono,brake,J,quota,0.5,gate_ridge,0.2021958881663724,0.2021958881663724,True
KITTI,mono,brake,J,quota,0.1,gate_gbm,0.06029725203724944,0.0602972520372494,True
KITTI,mono,brake,J,quota,0.2,gate_gbm,0.1535625241235419,0.1535625241235419,True
KITTI,mono,brake,J,quota,0.3,gate_gbm,0.31181593651375894,0.3118159365137589,True
KITTI,mono,brake,J,quota,0.5,gate_gbm,0.3509880517176084,0.3509880517176084,True
KITTI,mono,brake,J,quota,0.1,R1_mlp_reg,0.08349515931630003,0.0834951593163,True
KITTI,mono,brake,J,quota,0.2,R1_mlp_reg,0.16542767085224294,0.1654276708522429,True
KITTI,mono,brake,J,quota,0.3,R1_mlp_reg,0.3122832672005269,0.3122832672005269,True
KITTI,mono,brake,J,quota,0.5,R1_mlp_reg,0.3811854553468855,0.3811854553468855,True
KITTI,mono,brake,J,quota,0.1,R1_mlp_clf,0.08633197562527438,0.0863319756252743,True
KITTI,mono,brake,J,quota,0.2,R1_mlp_clf,0.18492768886511202,0.184927688865112,True
