setting,pair,geometry,scheme,t_cheap,t_full,system,variant,n,affected,harmed,harmed_share_affected,harmed_share_all,rho,sum_V,all_full_reduction,oracle20_reduction,affected_same_action,note
Y8 384->640|mono|S0,Y8 384->640,mono,S0,0.25,0.25,traj,memoryless,8008,458,224,0.4890829694323144,0.027972027972027972,0.4582985888242909,1128.0374685631398,0.05978251442195016,0.11036063999205432,0.0,
Y8 384->640|oracle|S0,Y8 384->640,oracle,S0,0.25,0.25,brake,own,8008,1295,528,0.40772200772200773,0.06593406593406594,0.29523952078772225,2312.044756523652,0.3265695311591327,0.46337662339430025,410.0,
Y8 384->640|oracle|S0,Y8 384->640,oracle,S0,0.25,0.25,brake,shared,8008,885,312,0.3525423728813559,0.03896103896103896,0.29462269092415966,2291.954756523652,0.32373187766541245,0.45894852797229163,0.0,
Y8 384->640|oracle|S0,Y8 384->640,oracle,S0,0.25,0.25,brake,memoryless,8008,885,313,0.3536723163841808,0.03908591408591409,0.2870264739725905,2320.8247565236525,0.3299694588027317,0.4628074490244772,0.0,
Y8 384->640|oracle|S0,Y8 384->640,oracle,S0,0.25,0.25,lateral,own,8008,179,79,0.441340782122905,0.009865134865134866,1.0999627197824915,-3.667774840220112,-0.0021491118736624852,0.021499133660416003,73.0,
Y8 384->640|oracle|S0,Y8 384->640,oracle,S0,0.25,0.25,lateral,shared,8008,106,62,0.5849056603773585,0.007742257742257742,1.3293372526874565,-10.06777484022011,-0.005899155589708717,0.0179122025873795,0.0,
Y8 384->640|oracle|S0,Y8 384->640,oracle,S0,0.25,0.25,lateral,memoryless,8008,114,69,0.6052631578947368,0.008616383616383616,1.3472398833736887,-10.467774840220114,-0.0062247167593346975,0.017926272462877906,0.0,
Y8 384->640|oracle|S0,Y8 384->640,oracle,S0,0.25,0.25,traj,own,8008,220,21,0.09545454545454546,0.0026223776223776225,0.0031551167831974257,1236.5266786432762,0.3197307927272197,0.3207427736354066,73.0,
Y8 384->640|oracle|S0,Y8 384->640,oracle,S0,0.25,0.25,traj,shared,8008,136,7,0.051470588235294115,0.0008741258741258741,0.0015609082339667292,1232.106228575572,0.31858778948372407,0.3190858532193566,0.0,
Y8 384->640|oracle|S0,Y8 384->640,oracle,S0,0.25,0.25,traj,memoryless,8008,136,8,0.058823529411764705,0.000999000999000999,0.001490421456479454,1230.6999785755718,0.31928167922108547,0.3197582537834109,0.0,
Y8 512->640|mono|S0,Y8 512->640,mono,S0,0.25,0.25,brake,own,8008,2266,974,0.4298323036187114,0.12162837162837163,0.6179504345033725,1000.472457645569,0.09789597105910722,0.25623892787799274,796.0,
Y8 512->640|mono|S0,Y8 512->640,mono,S0,0.25,0.25,brake,shared,8008,1470,630,0.42857142857142855,0.07867132867132867,0.6152373049046556,993.972457645569,0.09725994774130227,0.2527790479199168,0.0,
Y8 512->640|mono|S0,Y8 512->640,mono,S0,0.25,0.25,brake,memoryless,8008,1470,631,0.42925170068027213,0.07879620379620379,0.6155298517786604,985.5424576455688,0.09777302853859729,0.25430590382873913,0.0,
Y8 512->640|mono|S0,Y8 512->640,mono,S0,0.25,0.25,lateral,own,8008,256,122,0.4765625,0.015234765234765234,1.1035776023754682,-5.71698912352899,-0.002829040385983736,0.02731324457317013,108.0,
Y8 512->640|mono|S0,Y8 512->640,mono,S0,0.25,0.25,lateral,shared,8008,149,80,0.5369127516778524,0.00999000999000999,1.254050358028772,-12.116989123528986,-0.005996067308560684,0.023601884898275232,0.0,
