track,geometry,system,target,signal,budget_level,budget_per_frame,n_frames,feasible,overhead,overhead_source,escalated_frac,eta,eta_lo,eta_hi,minus_random,minus_random_lo,minus_random_hi,note,row_type,n_cells,n_feasible
nuScenes,oracle,brake,J,criticality_cheap,0.5,22.38554650102742,955.0,True,1.4709314999947765,measured,0.4239878276646448,0.4049235912429697,-0.0644527889122767,0.8468060921527572,0.0807766315660836,-0.3302349532003166,0.526784942964085,,cell,,
nuScenes,oracle,brake,J,gate_gbm_batched,0.5,22.38554650102742,955.0,True,3.5357949274881264,measured,0.3172835013923785,0.386850780429439,-0.0444092307326621,0.6608115411310443,0.0226310075499281,-0.2742991337289763,0.3464173121083091,,cell,,
nuScenes,oracle,brake,J,R1_mlp_reg,0.5,22.38554650102742,955.0,True,0.6491920000541995,measured,0.4664522146768704,0.4322682195455778,0.2073100280643302,0.6509984672467486,0.0986326279313852,-0.134314372330741,0.4454789270587396,,cell,,
nuScenes,oracle,brake,J,R1_mlp_clf,0.5,22.38554650102742,955.0,True,0.6491920000541995,measured,0.4664522146768704,0.3575488983815698,-0.230413767764594,0.6487067468291073,-0.0832596598232973,-0.4519030968128629,0.3343892154016334,,cell,,
nuScenes,oracle,brake,J,R1_gbm_reg,0.5,22.38554650102742,955.0,False,15.909292499998172,measured,,,,,,,,"infeasible: allocator overhead 15.9093 ms per input exceeds the budget headroom b - C_c = 9.6756 ms, so it cannot run within this budget",cell,,
nuScenes,oracle,brake,J,R1_gbm_clf,0.5,22.38554650102742,955.0,False,15.909292499998172,measured,,,,,,,,"infeasible: allocator overhead 15.9093 ms per input exceeds the budget headroom b - C_c = 9.6756 ms, so it cannot run within this budget",cell,,
nuScenes,oracle,brake,J,R2_cnn_clf,0.5,22.38554650102742,955.0,False,9.765887999975575,measured,,,,,,,,"infeasible: allocator overhead 9.7659 ms per input exceeds the budget headroom b - C_c = 9.6756 ms, so it cannot run within this budget",cell,,
nuScenes,oracle,brake,J,criticality_gt,0.5,22.38554650102742,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
nuScenes,oracle,brake,J,dE_exact,0.5,22.38554650102742,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
nuScenes,oracle,brake,J,dE_E6_risk_weighted,0.5,22.38554650102742,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
nuScenes,oracle,brake,J,PKL,0.5,22.38554650102742,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
nuScenes,oracle,brake,J,TIP,0.5,22.38554650102742,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
nuScenes,oracle,plan_ade,JC_ade,random,0.1,14.645041501353262,752.0,True,0.0,none,0.1,-0.0032613718769145,-0.0657097675688403,0.0424339958575977,0.0,0.0,0.0,,cell,,
nuScenes,oracle,plan_ade,JC_ade,oracle,0.1,14.645041501353262,752.0,True,0.0,none,0.1,1.0,1.0,1.0,1.0061956159375791,0.9575660041424022,1.0657097675688405,,cell,,
nuScenes,oracle,plan_ade,JC_ade,gate_ridge,0.1,14.645041501353262,752.0,False,3.925717499981829,measured,,,,,,,,"infeasible: allocator overhead 3.9257 ms per input exceeds the budget headroom b - C_c = 1.9351 ms, so it cannot run within this budget",cell,,
nuScenes,oracle,plan_ade,JC_ade,gate_gbm,0.1,14.645041501353262,752.0,False,21.37658250001095,measured,,,,,,,,"infeasible: allocator overhead 21.3766 ms per input exceeds the budget headroom b - C_c = 1.9351 ms, so it cannot run within this budget",cell,,
nuScenes,oracle,plan_ade,JC_ade,uncertainty,0.1,14.645041501353262,752.0,True,0.2944104999755836,measured,0.0847859797267502,-0.0618960510224359,-0.2517616002571647,0.0504152637552657,-0.0529763321570571,-0.2163621851677128,0.0686421432134298,,cell,,
nuScenes,oracle,plan_ade,JC_ade,criticality_cheap,0.1,14.645041501353262,752.0,True,1.4709314999947765,measured,0.0239878276646448,0.0175368658514552,-0.1536402299322005,0.0902090968378587,0.0103554856395494,-0.1368979657419291,0.1030644218342462,,cell,,
nuScenes,oracle,plan_ade,JC_ade,gate_gbm_batched,0.1,14.645041501353262,752.0,False,3.5357949274881264,measured,,,,,,,,"infeasible: allocator overhead 3.5358 ms per input exceeds the budget headroom b - C_c = 1.9351 ms, so it cannot run within this budget",cell,,
nuScenes,oracle,plan_ade,JC_ade,R1_mlp_reg,0.1,14.645041501353262,752.0,True,0.6491920000541995,measured,0.0664522146768704,-0.0048259675882575,-0.1795954514857843,0.1521540376034019,-0.0008364832494752,-0.1745316911486367,0.1598635752088082,,cell,,
nuScenes,oracle,plan_ade,JC_ade,R1_mlp_clf,0.1,14.645041501353262,752.0,True,0.6491920000541995,measured,0.0664522146768704,-0.0402256615372565,-0.1181277921327107,-0.0030238156124035,-0.0462155699454194,-0.1112748193444707,0.025527509733184,,cell,,
nuScenes,oracle,plan_ade,JC_ade,R1_gbm_reg,0.1,14.645041501353262,752.0,False,15.909292499998172,measured,,,,,,,,"infeasible: allocator overhead 15.9093 ms per input exceeds the budget headroom b - C_c = 1.9351 ms, so it cannot run within this budget",cell,,
nuScenes,oracle,plan_ade,JC_ade,R1_gbm_clf,0.1,14.645041501353262,752.0,False,15.909292499998172,measured,,,,,,,,"infeasible: allocator overhead 15.9093 ms per input exceeds the budget headroom b - C_c = 1.9351 ms, so it cannot run within this budget",cell,,
nuScenes,oracle,plan_ade,JC_ade,R2_cnn_clf,0.1,14.645041501353262,752.0,False,9.765887999975575,measured,,,,,,,,"infeasible: allocator overhead 9.7659 ms per input exceeds the budget headroom b - C_c = 1.9351 ms, so it cannot run within this budget",cell,,
nuScenes,oracle,plan_ade,JC_ade,criticality_gt,0.1,14.645041501353262,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
