track,geometry,system,target,n_test_frames,n_test_units,n_affected,rate_target,oracle_prize,all_cheap_loss,ndg_defined,undefined_reason,variant,signal,policy,available,rate_realised,rate_unit_min,rate_unit_max,gain,gain_share_all_cheap,ndg,tau,tie_p,ndg_lo,ndg_hi,boot_dropped,minus_random,minus_random_lo,minus_random_hi,budget_level,budget_ms,cheap_ms,full_ms,overhead_ms,feasible,note
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V2,gate_ridge,A,True,0.17447916666666666,0.0,0.5625,162.85680724453601,0.3909119595702616,0.9921085889806255,0.056640954,0.20000000000001705,0.9914880677096739,0.993078401003754,319.0,0.8486286970778678,0.8438177421568226,0.851109264956789,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V2,gate_ridge,B,True,0.09895833333333333,0.0,0.20833333333333334,68.88293992571094,0.16534258213037456,0.41962849137721336,0.056640954,0.20000000000001705,0.3739924365233279,0.490953032142069,319.0,0.26866769708134414,0.23219543572738632,0.3407729402749319,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,TEST,gate_ridge,A_expected,True,0.20052083333333331,,,162.85680724453601,0.3909119595702616,0.9921085889806255,0.051783172,1.0,,,,,,,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,official,gate_gbm,C,True,0.20052083333333334,,,162.85680724453601,0.3909119595702616,0.9921085889806255,,,0.8488561642184624,0.993078401003754,319.0,0.8305454502810266,0.7084773614655775,0.851109264956789,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V1,gate_gbm,A,True,0.19270833333333334,0.0,0.4375,115.05605046468901,0.27617381740777985,0.7009108050903167,0.121020502,0.8000000000000043,0.6773926779901559,0.7376672604946921,319.0,0.554201560559908,0.537013875237271,0.5884066016477607,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V1,gate_gbm,B,True,0.1328125,0.0,0.20833333333333334,57.08932797126175,0.13703388544444176,0.3477828994545817,0.121020502,0.8000000000000043,0.2977380412006676,0.4290067398926957,319.0,0.19679628103900118,0.15604343843600965,0.278763696608901,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V2,gate_gbm,A,True,0.18229166666666666,0.0,0.5416666666666666,162.85680724453601,0.3909119595702616,0.9921085889806255,0.151269634,0.6000000000000085,0.9914880677096739,0.993078401003754,319.0,0.8486286970778678,0.8438177421568226,0.851109264956789,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V2,gate_gbm,B,True,0.11197916666666667,0.0,0.20833333333333334,68.41621743228369,0.16422228874154976,0.41678526116636705,0.151269634,0.6000000000000085,0.37171250037995296,0.4896803907259454,319.0,0.26656387164480866,0.230017897615295,0.3394373474421507,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,TEST,gate_gbm,A_expected,True,0.20052083333333331,,,162.85680724453601,0.3909119595702616,0.9921085889806255,0.1299346,1.0,,,,,,,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,official,R1_mlp_reg,C,True,0.20052083333333334,,,23.54769637520377,0.05652251379074785,0.1434503857702971,,,0.003467848926749671,0.1547302463019746,319.0,-0.00660725886747593,-0.13862650810769991,0.014351443549089654,,,,,,,
