section,track,unit,budget_level,budget,Cc,Cf,Cs,signal,eligible,feasible,share_cascade,share_skipping,ineligible_reason,geometry,system,target,k,n_test,n_units,coverage,n_positive,n_nonnegative,share_positive,share_nonnegative,share_skipping_exceeds_nonnegative,regime,denominator,oracle_same_k,oracle_capacity,oracle_same_k_over_capacity,gain_r2,gain_random,tie_frac_r2,ndg_r2,ndg_random,ndg_minus_random,all_cheap_loss,gain_share_all_cheap_r2,gain_share_all_cheap_random,n_draws,n_draws_oracle_nonpositive,gain_minus_random_mean,gain_minus_random_lo,gain_minus_random_hi,ndg_r2_lo,ndg_r2_hi,ndg_minus_random_lo,ndg_minus_random_hi,p_le_random,beats_random,loses_to_random,cascade_eta_shipped,cascade_minus_random_lo_shipped,cascade_minus_random_hi_shipped,convention
evaluation,nuScenes,mJ,0.3,94.36387982260146,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,,,0.10305494863382716,0.17499597494029936,,oracle,plan_ade,JC_ade,131.0,752.0,24.0,1.0,146.0,596.0,0.19414893617021275,0.7925531914893617,False,share_below_positives,oracle escalating the same k (budget-constrained),85.97181191105265,86.6346772761253,0.992348729332021,-9.065609565197985,-0.44004944517863814,0.007633587786259542,-0.10544862744753315,-0.005118531707042745,-0.1003300957404904,3015.1530604685695,-0.003006683038435583,-0.00014594597234485082,1000.0,0.0,-10.237702717494892,-33.6409727935419,5.378549652305463,-0.3901746119372486,0.08407564522460212,-0.3433406404855534,0.08038878003439572,0.832,False,False,,,,module
evaluation,nuScenes,mJ,0.5,120.9040971091011,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,,,0.3030549486338271,0.5146128051074592,,oracle,plan_ade,JC_ade,386.0,752.0,24.0,1.0,146.0,596.0,0.19414893617021275,0.7925531914893617,False,at_capacity,oracle escalating the same k (budget-constrained),86.63467727612525,86.6346772761253,0.9999999999999993,-12.783123237346627,-1.296634243045453,0.0025906735751295338,-0.14755203850536414,-0.014966688672629002,-0.13258534983273512,3015.1530604685695,-0.004239626639504685,-0.00043003927729093447,1000.0,0.0,-11.006710038150658,-37.66203791663341,10.50350445007566,-0.6246568900991303,0.23248619787253272,-0.40351169572187856,0.13376466755098199,0.801,False,False,,,,module
evaluation,nuScenes,mJ,0.2,81.09377117935163,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,,,0.0030549486338271458,0.005187559856719355,,oracle,plan_fde,JC_fde,3.0,752.0,24.0,1.0,69.0,696.0,0.09175531914893617,0.925531914893617,False,share_below_positives,oracle escalating the same k (budget-constrained),65.09292198283967,274.7826327260236,0.23688877763880223,0.08128851406647053,0.32495502780690905,0.3333333333333333,0.0012488072679837676,0.004992171466700732,-0.0037433641987169647,5814.220981124377,1.3980981171918002e-05,5.5889693367669e-05,1000.0,0.0,-0.22965409328864997,-0.7972852249882637,0.35077567048972147,0.0,0.002578869980417177,-0.013458123417892718,0.006079412674091242,0.825,False,False,,,,module
evaluation,nuScenes,mJ,0.3,94.36387982260146,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,,,0.10305494863382716,0.17499597494029936,,oracle,plan_fde,JC_fde,131.0,752.0,24.0,1.0,69.0,696.0,0.09175531914893617,0.925531914893617,False,at_capacity,oracle escalating the same k (budget-constrained),274.78263272602356,274.7826327260236,0.9999999999999998,-9.525003683056344,14.189702880901695,0.007633587786259542,-0.03466377619488566,0.05163973698093855,-0.08630351317582421,5814.220981124377,-0.0016382252607836656,0.002440516610388213,1000.0,0.0,-22.69510515219885,-58.033686161674176,8.51765811058981,-0.12952208948768848,0.06105226520829484,-0.17508313708610485,0.04255998771010503,0.917,False,False,,,,module
evaluation,nuScenes,mJ,0.5,120.9040971091011,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,,,0.3030549486338271,0.5146128051074592,,oracle,plan_fde,JC_fde,386.0,752.0,24.0,1.0,69.0,696.0,0.09175531914893617,0.925531914893617,False,at_capacity,oracle escalating the same k (budget-constrained),274.78263272602356,274.7826327260236,0.9999999999999998,51.283506440383164,41.81088024448897,0.0025906735751295338,0.18663299762294733,0.15215983568429226,0.03447316193865508,5814.220981124377,0.008820357294102323,0.007191140546640079,1000.0,0.0,3.562233588346144,-76.42859820153042,85.18450949454945,-0.1663408835062147,0.373878248591287,-0.2734174515617816,0.3022147942258322,0.472,False,False,,,,module
evaluation,nuScenes,mJ,0.2,81.09377117935163,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,,,0.0030549486338271458,0.005187559856719355,,mono,brake,J,4.0,955.0,24.0,1.0,35.0,933.0,0.03664921465968586,0.9769633507853404,False,share_below_positives,oracle escalating the same k (budget-constrained),30.693001364216016,82.87375594560748,0.3703585171687011,0.0,0.2295904612137867,0.25,0.0,0.0074802219075733286,-0.0074802219075733286,332.31933917287085,0.0,0.0006908730072262057,1000.0,0.0,-0.2337145621604502,-0.5540365017029467,-0.011103930289134256,0.0,0.0,-0.011579169398612237,-0.0007436994466143913,0.982,False,True,,,,module
evaluation,nuScenes,mJ,0.3,94.36387982260146,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,,,0.10305494863382716,0.17499597494029936,,mono,brake,J,167.0,955.0,24.0,1.0,35.0,933.0,0.03664921465968586,0.9769633507853404,False,at_capacity,oracle escalating the same k (budget-constrained),82.8737559456075,82.87375594560748,1.0000000000000002,22.29465431062167,9.585401755675594,0.005988023952095809,0.26901947493793227,0.11566269256538557,0.15335678237254668,332.31933917287085,0.06708804358516163,0.028843948051694084,1000.0,0.0,12.447343787018934,-11.727916987343281,47.36497170250435,-0.16264380356899202,0.49355925572786674,-0.2336798103225385,0.36186165606150017,0.222,False,False,,,,module
evaluation,nuScenes,mJ,0.5,120.9040971091011,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,,,0.3030549486338271,0.5146128051074592,,mono,brake,J,491.0,955.0,24.0,1.0,35.0,933.0,0.03664921465968586,0.9769633507853404,False,at_capacity,oracle escalating the same k (budget-constrained),82.8737559456075,82.87375594560748,1.0000000000000002,37.49441032252478,28.182229113992314,0.002036659877800407,0.4524280321883018,0.34006216796170247,0.11236586422659937,332.31933917287085,0.11282644704291607,0.08480466163701673,1000.0,0.0,9.357998526067897,-18.17958250183075,51.949387830852174,-0.18655863764190944,0.7663771117297512,-0.3363200952447916,0.36624969089568254,0.356,False,False,,,,module
evaluation,nuScenes,mJ,0.2,81.09377117935163,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,,,0.0030549486338271458,0.005187559856719355,,mono,plan_ade,JC_ade,3.0,752.0,24.0,1.0,228.0,527.0,0.30319148936170215,0.7007978723404256,False,share_below_positives,oracle escalating the same k (budget-constrained),32.21873186848108,174.6292800244908,0.184497879530641,0.2246927413354789,0.3135049839548568,0.3333333333333333,0.006973978437534072,0.009730519041984773,-0.0027565406044507018,2978.375498800933,7.544137447609885e-05,0.00010526039583694905,1000.0,0.0,0.3498243768336407,-1.2637453724419554,5.469039659585338,-0.0295013020358207,0.19345582387174656,-0.040842087681863246,0.18529282777534198,0.521,False,False,,,,module
evaluation,nuScenes,mJ,0.3,94.36387982260146,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,,,0.10305494863382716,0.17499597494029936,,mono,plan_ade,JC_ade,131.0,752.0,24.0,1.0,228.0,527.0,0.30319148936170215,0.7007978723404256,False,share_below_positives,oracle escalating the same k (budget-constrained),167.34129081493597,174.6292800244908,0.9582659379427508,12.547039661260229,13.689717632695414,0.007633587786259542,0.07497874314317376,0.08180717123686454,-0.006828428093690767,2978.375498800933,0.004212712489177927,0.004596370618213442,1000.0,0.0,-0.1423052161651598,-32.280472002732104,32.96324753456404,-0.058864879554874114,0.3300443852376989,-0.11948920030530197,0.2761384425680809,0.499,False,False,,,,module
