registry_version,track,geometry,system,target,signal,unit,budget_level,budget_per_frame,cheap_cost,full_cost,headroom,n_frames,k_zero_overhead,gain_random,gain_zero_overhead,overheads_at_least_random,full_fidelity_feasible,gain_full_fidelity,overheads_at_least_full_fidelity,max_overhead_at_least_random,measured_overhead,measured_feasible,measured_capacity,measured_gain,measured_in_at_least_random,measured_in_at_least_full_fidelity,overhead_provenance,all_cheap_loss,measured_ndg,measured_minus_random,measured_minus_random_lo,measured_minus_random_hi,measured_matches_shipped
2026-09-23.1,KITTI,oracle,brake,J,criticality_cheap,ms,0.5,22.41333162328374,13.17875574932259,18.469151747922297,9.234575873961148,3536,1768,621.3709029642554,96.99125717346728,none,True,1242.7418059285108,none,,1.3042825000013636,True,1518.0,109.8323419429408,False,False,measured on KITTI,4585.479391436285,0.061384487762618505,-0.25049588050567884,-0.44397630271484645,0.14981734292553966,True
2026-09-23.1,KITTI,oracle,brake,J,criticality_cheap,mJ,0.1,49.55596606074272,41.112641173187015,84.43324887555701,8.443324887555704,3536,353,124.06330811446955,21.257980139293245,none,False,1242.7418059285108,not feasible (C_f > b),,10.288464989799325,False,,,False,,measured on KITTI,4585.479391436285,,,,,True
2026-09-23.1,KITTI,oracle,brake,J,criticality_cheap,mJ,0.2,57.99929094829842,41.112641173187015,84.43324887555701,16.886649775111408,3536,707,248.47807035957499,-21.00039852858263,none,False,1242.7418059285108,not feasible (C_f > b),,10.288464989799325,True,276.0,20.842651436351044,False,,measured on KITTI,4585.479391436285,0.01164880452699338,-0.1169121987815438,-0.18527353856261836,-0.013490546498253824,True
2026-09-23.1,KITTI,oracle,brake,J,criticality_cheap,mJ,0.3,66.44261583585411,41.112641173187015,84.43324887555701,25.329974662667098,3536,1060,372.5413784740445,132.483874730411,none,False,1242.7418059285108,not feasible (C_f > b),,10.288464989799325,True,629.0,-18.417167710725977,False,,measured on KITTI,4585.479391436285,-0.010293219519515246,-0.19689215702378066,-0.28300868768964876,-0.060360935411184556,True
2026-09-23.1,KITTI,oracle,brake,J,criticality_cheap,mJ,0.5,83.32926561096552,41.112641173187015,84.43324887555701,42.216624437778506,3536,1768,621.3709029642554,96.99125717346728,none,False,1242.7418059285108,not feasible (C_f > b),,10.288464989799325,True,1337.0,113.08078070067515,False,,measured on KITTI,4585.479391436285,0.06320001628221751,-0.25860417429838306,-0.45359279347723175,0.08040299845493824,True
2026-09-23.1,KITTI,oracle,brake,J,gate_ridge,ms,0.1,15.02567092411482,13.17875574932259,18.469151747922297,1.8469151747922297,3536,353,124.06330811446955,117.49751779713878,none,False,1242.7418059285108,not feasible (C_f > b),,3.932014499980596,False,,,False,,measured on KITTI,4585.479391436285,,,,,True
2026-09-23.1,KITTI,oracle,brake,J,gate_ridge,ms,0.2,16.87258609890705,13.17875574932259,18.469151747922297,3.6938303495844593,3536,707,248.47807035957499,425.43685837151685,"[0, 0.711397]",False,1242.7418059285108,not feasible (C_f > b),0.7113966255897863,3.932014499980596,False,,,False,,measured on KITTI,4585.479391436285,,,,,True
2026-09-23.1,KITTI,oracle,brake,J,gate_ridge,ms,0.3,18.71950127369928,13.17875574932259,18.469151747922297,5.540745524376689,3536,1060,372.5413784740445,566.5049734046969,"[0, 1.97854]",True,1242.7418059285108,none,1.9785392200597949,3.932014499980596,True,307.0,94.36457439668159,False,False,measured on KITTI,4585.479391436285,0.052739666293258936,-0.116553308785888,-0.2503101369770052,0.06118717077237077,True
2026-09-23.1,KITTI,oracle,brake,J,gate_ridge,ms,0.5,22.41333162328374,13.17875574932259,18.469151747922297,9.234575873961148,3536,1768,621.3709029642554,559.033479706834,none,True,1242.7418059285108,none,,3.932014499980596,True,1015.0,563.5263931905125,False,False,measured on KITTI,4585.479391436285,0.3149507547119991,-0.0443921122696164,-0.21607647758265178,0.21782415757872686,True
2026-09-23.1,KITTI,oracle,brake,J,gate_ridge,mJ,0.1,49.55596606074272,41.112641173187015,84.43324887555701,8.443324887555704,3536,353,124.06330811446955,117.49751779713878,none,False,1242.7418059285108,not feasible (C_f > b),,31.01658844797148,False,,,False,,measured on KITTI,4585.479391436285,,,,,True
2026-09-23.1,KITTI,oracle,brake,J,gate_ridge,mJ,0.2,57.99929094829842,41.112641173187015,84.43324887555701,16.886649775111408,3536,707,248.47807035957499,425.43685837151685,"[0, 3.25221]",False,1242.7418059285108,not feasible (C_f > b),3.2522082853323866,31.01658844797148,False,,,False,,measured on KITTI,4585.479391436285,,,,,True
2026-09-23.1,KITTI,oracle,brake,J,gate_ridge,mJ,0.3,66.44261583585411,41.112641173187015,84.43324887555701,25.329974662667098,3536,1060,372.5413784740445,566.5049734046969,"[0, 9.04506]",False,1242.7418059285108,not feasible (C_f > b),9.045055054905376,31.01658844797148,False,,,False,,measured on KITTI,4585.479391436285,,,,,True
2026-09-23.1,KITTI,oracle,brake,J,gate_ridge,mJ,0.5,83.32926561096552,41.112641173187015,84.43324887555701,42.216624437778506,3536,1768,621.3709029642554,559.033479706834,none,False,1242.7418059285108,not feasible (C_f > b),,31.01658844797148,True,469.0,164.1338977701065,False,,measured on KITTI,4585.479391436285,0.09173322776213043,-0.2052367326030071,-0.4135280600821228,0.04457809303520677,True
2026-09-23.1,KITTI,oracle,brake,J,gate_gbm,ms,0.1,15.02567092411482,13.17875574932259,18.469151747922297,1.8469151747922297,3536,353,124.06330811446955,144.14889799381703,"[0, 1.16268]",False,1242.7418059285108,not feasible (C_f > b),1.1626790664892455,21.38287950000972,False,,,False,,measured on KITTI,4585.479391436285,,,,,True
2026-09-23.1,KITTI,oracle,brake,J,gate_gbm,ms,0.2,16.87258609890705,13.17875574932259,18.469151747922297,3.6938303495844593,3536,707,248.47807035957499,369.51431620237213,"[0, 0.680058]",False,1242.7418059285108,not feasible (C_f > b),0.6800575671939906,21.38287950000972,False,,,False,,measured on KITTI,4585.479391436285,,,,,True
2026-09-23.1,KITTI,oracle,brake,J,gate_gbm,ms,0.3,18.71950127369928,13.17875574932259,18.469151747922297,5.540745524376689,3536,1060,372.5413784740445,800.2893735457991,"[0, 1.83751]",True,1242.7418059285108,none,1.837513457278714,21.38287950000972,False,,,False,,measured on KITTI,4585.479391436285,,,,,True
2026-09-23.1,KITTI,oracle,brake,J,gate_gbm,ms,0.5,22.41333162328374,13.17875574932259,18.469151747922297,9.234575873961148,3536,1768,621.3709029642554,1165.1248328014249,"[0, 4.07408]",True,1242.7418059285108,none,4.074077591458671,21.38287950000972,False,,,False,,measured on KITTI,4585.479391436285,,,,,True
2026-09-23.1,KITTI,oracle,brake,J,gate_gbm,mJ,0.1,49.55596606074272,41.112641173187015,84.43324887555701,8.443324887555704,3536,353,124.06330811446955,144.14889799381703,"[0, 5.31528]",False,1242.7418059285108,not feasible (C_f > b),5.315283144735133,168.67281981987622,False,,,False,,measured on KITTI,4585.479391436285,,,,,True
2026-09-23.1,KITTI,oracle,brake,J,gate_gbm,mJ,0.2,57.99929094829842,41.112641173187015,84.43324887555701,16.886649775111408,3536,707,248.47807035957499,369.51431620237213,"[0, 3.10894]",False,1242.7418059285108,not feasible (C_f > b),3.1089391978738607,168.67281981987622,False,,,False,,measured on KITTI,4585.479391436285,,,,,True
2026-09-23.1,KITTI,oracle,brake,J,gate_gbm,mJ,0.3,66.44261583585411,41.112641173187015,84.43324887555701,25.329974662667098,3536,1060,372.5413784740445,800.2893735457991,"[0, 8.40034]",False,1242.7418059285108,not feasible (C_f > b),8.400344161342016,168.67281981987622,False,,,False,,measured on KITTI,4585.479391436285,,,,,True
2026-09-23.1,KITTI,oracle,brake,J,gate_gbm,mJ,0.5,83.32926561096552,41.112641173187015,84.43324887555701,42.216624437778506,3536,1768,621.3709029642554,1165.1248328014249,"[0, 18.625]",False,1242.7418059285108,not feasible (C_f > b),18.624981369632042,168.67281981987622,False,,,False,,measured on KITTI,4585.479391436285,,,,,True
2026-09-23.1,KITTI,oracle,brake,J,gate_gbm_batched,ms,0.1,15.02567092411482,13.17875574932259,18.469151747922297,1.8469151747922297,3536,353,124.06330811446955,144.14889799381703,"[0, 1.16268]",False,1242.7418059285108,not feasible (C_f > b),1.1626790664892455,3.5420919274868936,False,,,False,,measured on KITTI,4585.479391436285,,,,,True
2026-09-23.1,KITTI,oracle,brake,J,gate_gbm_batched,ms,0.2,16.87258609890705,13.17875574932259,18.469151747922297,3.6938303495844593,3536,707,248.47807035957499,369.51431620237213,"[0, 0.680058]",False,1242.7418059285108,not feasible (C_f > b),0.6800575671939906,3.5420919274868936,True,29.0,27.812662123720887,False,,measured on KITTI,4585.479391436285,0.015544292214640501,-0.11011432064476541,-0.1777642209231462,0.0036205508730513397,True
2026-09-23.1,KITTI,oracle,brake,J,gate_gbm_batched,ms,0.3,18.71950127369928,13.17875574932259,18.469151747922297,5.540745524376689,3536,1060,372.5413784740445,800.2893735457991,"[0, 1.83751]",True,1242.7418059285108,none,1.837513457278714,3.5420919274868936,True,382.0,145.16984637407884,False,False,measured on KITTI,4585.479391436285,0.08113435897488476,-0.06593576866869938,-0.2142989523531557,0.11657976123759788,True
2026-09-23.1,KITTI,oracle,brake,J,gate_gbm_batched,ms,0.5,22.41333162328374,13.17875574932259,18.469151747922297,9.234575873961148,3536,1768,621.3709029642554,1165.1248328014249,"[0, 4.07408]",True,1242.7418059285108,none,4.074077591458671,3.5420919274868936,True,1089.0,819.372005239362,True,False,measured on KITTI,4585.479391436285,0.45794098476728784,0.10236541945903346,-0.19495188366687818,0.308434291007645,True
2026-09-23.1,KITTI,oracle,brake,J,gate_gbm_batched,mJ,0.1,49.55596606074272,41.112641173187015,84.43324887555701,8.443324887555704,3536,353,124.06330811446955,144.14889799381703,"[0, 5.31528]",False,1242.7418059285108,not feasible (C_f > b),5.315283144735133,27.940794104468633,False,,,False,,measured on KITTI,4585.479391436285,,,,,True
2026-09-23.1,KITTI,oracle,brake,J,gate_gbm_batched,mJ,0.2,57.99929094829842,41.112641173187015,84.43324887555701,16.886649775111408,3536,707,248.47807035957499,369.51431620237213,"[0, 3.10894]",False,1242.7418059285108,not feasible (C_f > b),3.1089391978738607,27.940794104468633,False,,,False,,measured on KITTI,4585.479391436285,,,,,True
2026-09-23.1,KITTI,oracle,brake,J,gate_gbm_batched,mJ,0.3,66.44261583585411,41.112641173187015,84.43324887555701,25.329974662667098,3536,1060,372.5413784740445,800.2893735457991,"[0, 8.40034]",False,1242.7418059285108,not feasible (C_f > b),8.400344161342016,27.940794104468633,False,,,False,,measured on KITTI,4585.479391436285,,,,,True
2026-09-23.1,KITTI,oracle,brake,J,gate_gbm_batched,mJ,0.5,83.32926561096552,41.112641173187015,84.43324887555701,42.216624437778506,3536,1768,621.3709029642554,1165.1248328014249,"[0, 18.625]",False,1242.7418059285108,not feasible (C_f > b),18.624981369632042,27.940794104468633,True,597.0,266.50073126686374,False,,measured on KITTI,4585.479391436285,0.1489452977855865,-0.12605148664233967,-0.3554212745614864,0.16042517683777385,True
2026-09-23.1,KITTI,oracle,brake,J,R1_mlp_reg,ms,0.1,15.02567092411482,13.17875574932259,18.469151747922297,1.8469151747922297,3536,353,124.06330811446955,208.20239437077765,"[0, 0.91719]",False,1242.7418059285108,not feasible (C_f > b),0.9171897757221789,0.6543920000012804,True,228.0,148.22779111351292,True,,measured on KITTI,4585.479391436285,0.0838341078343351,0.025261245353500973,-0.03058468718369592,0.13210355647807626,True
2026-09-23.1,KITTI,oracle,brake,J,R1_mlp_reg,ms,0.2,16.87258609890705,13.17875574932259,18.469151747922297,3.6938303495844593,3536,707,248.47807035957499,477.1630103594035,"[0, 1.4113]",False,1242.7418059285108,not feasible (C_f > b),1.4113022630958918,0.6543920000012804,True,581.0,317.5960707120285,True,,measured on KITTI,4585.479391436285,0.17750210704062344,0.07279510810199254,-0.03217263940354233,0.2078681211877444,True
2026-09-23.1,KITTI,oracle,brake,J,R1_mlp_reg,ms,0.3,18.71950127369928,13.17875574932259,18.469151747922297,5.540745524376689,3536,1060,372.5413784740445,731.2314712285746,"[0, 2.21358]",True,1242.7418059285108,none,2.213582158028263,0.6543920000012804,True,935.0,684.303026094819,True,False,measured on KITTI,4585.479391436285,0.3824519261645411,0.13097836328066897,-0.050759030298498486,0.2583069292719986,True
2026-09-23.1,KITTI,oracle,brake,J,R1_mlp_reg,ms,0.5,22.41333162328374,13.17875574932259,18.469151747922297,9.234575873961148,3536,1768,621.3709029642554,1042.5124848646008,"[0, 4.86278]",True,1242.7418059285108,none,4.862777227752864,0.6543920000012804,True,1642.0,958.9569188062777,True,False,measured on KITTI,4585.479391436285,0.5359539658903332,0.18938323289678616,0.02739668099965294,0.2945708623484143,True
2026-09-23.1,KITTI,oracle,brake,J,R1_mlp_reg,mJ,0.1,49.55596606074272,41.112641173187015,84.43324887555701,8.443324887555704,3536,353,124.06330811446955,208.20239437077765,"[0, 4.19301]",False,1242.7418059285108,not feasible (C_f > b),4.193008626310027,6.532149439499585,True,80.0,46.81881060190453,False,,measured on KITTI,4585.479391436285,0.02647960404179267,-0.03286540340849853,-0.0944404010334425,0.04123064840213343,True
2026-09-23.1,KITTI,oracle,brake,J,R1_mlp_reg,mJ,0.2,57.99929094829842,41.112641173187015,84.43324887555701,16.886649775111408,3536,707,248.47807035957499,477.1630103594035,"[0, 6.45188]",False,1242.7418059285108,not feasible (C_f > b),6.4518845719060955,6.532149439499585,True,433.0,246.58614045542708,False,,measured on KITTI,4585.479391436285,0.13781517951316302,0.024061545025978102,-0.06370163423573462,0.1743713119771539,True
