section,track,geometry,system,target,unit,budget_level,budget,budget_shipped,feasible,share_cascade,share_cascade_shipped,share_equal,eta_cascade,eta_cascade_shipped,eta_match,Cc,Cf,Cs,signal,eligible,share_skipping,ineligible_reason,k,n_test,n_units,coverage,n_positive,n_nonnegative,share_positive,share_nonnegative,share_skipping_exceeds_nonnegative,regime,denominator,oracle_same_k,oracle_capacity,oracle_same_k_over_capacity,gain_r2,gain_random,tie_frac_r2,ndg_r2,ndg_random,ndg_minus_random,all_cheap_loss,gain_share_all_cheap_r2,gain_share_all_cheap_random,n_draws,n_draws_oracle_nonpositive,gain_minus_random_mean,gain_minus_random_lo,gain_minus_random_hi,ndg_r2_lo,ndg_r2_hi,ndg_minus_random_lo,ndg_minus_random_hi,p_le_random,beats_random,loses_to_random,cascade_eta_shipped,cascade_minus_random_lo_shipped,cascade_minus_random_hi_shipped
validation,KITTI,oracle,traj,JB,mJ,0.5,30.38262693349563,30.38262693349563,True,0.2643342124454006,0.2643342124454006,True,0.33445146890434196,0.33445146890434196,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,mono,brake,J,ms,0.1,15.02567092411482,15.02567092411482,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,mono,brake,J,ms,0.2,16.87258609890705,16.87258609890705,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,mono,brake,J,ms,0.3,18.71950127369928,18.71950127369928,True,0.03920713491760384,0.03920713491760384,True,0.017305858109231388,0.017305858109231388,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,mono,brake,J,ms,0.5,22.41333162328374,22.41333162328374,True,0.23920713491760384,0.23920713491760384,True,0.12287664330573737,0.12287664330573737,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,mono,brake,J,mJ,0.1,17.162697553314068,17.162697553314068,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,mono,brake,J,mJ,0.2,20.46767989835946,20.46767989835946,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,mono,brake,J,mJ,0.3,23.77266224340485,23.77266224340485,True,0.06433421244540062,0.06433421244540062,True,0.0345355897891072,0.0345355897891072,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,mono,brake,J,mJ,0.5,30.38262693349563,30.38262693349563,True,0.2643342124454006,0.2643342124454006,True,0.14121244120480728,0.14121244120480728,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,mono,traj,JB,ms,0.1,15.02567092411482,15.02567092411482,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,mono,traj,JB,ms,0.2,16.87258609890705,16.87258609890705,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,mono,traj,JB,ms,0.3,18.71950127369928,18.71950127369928,True,0.03920713491760384,0.03920713491760384,True,-0.007596419614687249,-0.007596419614687249,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,mono,traj,JB,ms,0.5,22.41333162328374,22.41333162328374,True,0.23920713491760384,0.23920713491760384,True,-0.08763156969659709,-0.08763156969659709,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,mono,traj,JB,mJ,0.1,17.162697553314068,17.162697553314068,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,mono,traj,JB,mJ,0.2,20.46767989835946,20.46767989835946,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,mono,traj,JB,mJ,0.3,23.77266224340485,23.77266224340485,True,0.06433421244540062,0.06433421244540062,True,0.03716519788020064,0.03716519788020064,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,mono,traj,JB,mJ,0.5,30.38262693349563,30.38262693349563,True,0.2643342124454006,0.2643342124454006,True,-0.21981670794639366,-0.21981670794639366,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shares,nuScenes,,,,ms,0.1,14.645041501353262,,False,,,,,,,12.709915251434722,19.351262499185395,9.765887999975575,R2_cnn_clf,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shares,nuScenes,,,,ms,0.2,16.5801677512718,,False,,,,,,,12.709915251434722,19.351262499185395,9.765887999975575,R2_cnn_clf,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shares,nuScenes,,,,ms,0.3,18.51529400119034,,False,,,,,,,12.709915251434722,19.351262499185395,9.765887999975575,R2_cnn_clf,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shares,nuScenes,,,,ms,0.5,22.38554650102742,,False,,,,,,,12.709915251434722,19.351262499185395,9.765887999975575,R2_cnn_clf,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shares,nuScenes,,,,mJ,0.1,30.37173042357946,,False,,,,,,,23.70561041501833,66.66120008561128,15.791913882183096,R2_cnn_clf,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shares,nuScenes,,,,mJ,0.2,37.03785043214059,,False,,,,,,,23.70561041501833,66.66120008561128,15.791913882183096,R2_cnn_clf,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shares,nuScenes,,,,mJ,0.3,43.70397044070172,,True,0.06310186642451769,,,,,,23.70561041501833,66.66120008561128,15.791913882183096,R2_cnn_clf,True,0.0979254661793175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shares,nuScenes,,,,mJ,0.5,57.03621045782397,,True,0.26310186642451766,,,,,,23.70561041501833,66.66120008561128,15.791913882183096,R2_cnn_clf,True,0.40829811195978966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shares,KITTI,,,,ms,0.1,15.02567092411482,,False,,,,,,,13.17875574932259,18.469151747922297,4.816622999982201,R2_cnn_clf,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shares,KITTI,,,,ms,0.2,16.87258609890705,,False,,,,,,,13.17875574932259,18.469151747922297,4.816622999982201,R2_cnn_clf,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shares,KITTI,,,,ms,0.3,18.71950127369928,,True,0.03920713491760384,,,,,,13.17875574932259,18.469151747922297,4.816622999982201,R2_cnn_clf,True,0.13687491911496857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shares,KITTI,,,,ms,0.5,22.41333162328374,,True,0.23920713491760384,,,,,,13.17875574932259,18.469151747922297,4.816622999982201,R2_cnn_clf,True,0.8350892589417348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shares,KITTI,,,,mJ,0.1,17.162697553314068,,False,,,,,,,13.85771520826868,33.0498234504539,7.788712671991685,R2_cnn_clf,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shares,KITTI,,,,mJ,0.2,20.46767989835946,,False,,,,,,,13.85771520826868,33.0498234504539,7.788712671991685,R2_cnn_clf,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shares,KITTI,,,,mJ,0.3,23.77266224340485,,True,0.06433421244540062,,,,,,13.85771520826868,33.0498234504539,7.788712671991685,R2_cnn_clf,True,0.11078690971901223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shares,KITTI,,,,mJ,0.5,30.38262693349563,,True,0.2643342124454006,,,,,,13.85771520826868,33.0498234504539,7.788712671991685,R2_cnn_clf,True,0.4551974667396185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shares,,,,,,,,,,,,,,,,,,,"R1_mlp_reg, R1_mlp_clf, R1_gbm_reg, R1_gbm_clf",False,,"reads CHEAP's detection list (103_routers_r1.py det_list_features), which exists only after CHEAP has run",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shares,,,,,,,,,,,,,,,,,,,"gate_ridge, gate_gbm",False,,reads features computed from CHEAP's detections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluation,nuScenes,oracle,brake,J,mJ,0.3,43.70397044070172,,,0.06310186642451769,,,,,,23.70561041501833,66.66120008561128,15.791913882183096,R2_cnn_clf,,0.0979254661793175,,93.0,955.0,24.0,1.0,17.0,947.0,0.01780104712041885,0.9916230366492147,False,at_capacity,oracle escalating the same k (budget-constrained),47.32780447811231,47.32780447811232,0.9999999999999999,-6.704712483275277,3.415074036946577,0.010752688172043012,-0.14166540276289397,0.07215788001587832,-0.2138232827787723,246.6178238736764,-0.027186650088639144,0.013847636733247069,1000.0,0.0,-9.57584248019171,-19.52017920707999,1.881144559881234,-0.6238432402708345,0.13329472436284126,-0.6372085136413886,0.054066639686509294,0.961,False,False,-0.15856878564366916,-0.5973233115316025,-0.22031985497536163
evaluation,nuScenes,oracle,brake,J,mJ,0.5,57.03621045782397,,,0.26310186642451766,,,,,,23.70561041501833,66.66120008561128,15.791913882183096,R2_cnn_clf,,0.40829811195978966,,389.0,955.0,24.0,1.0,17.0,947.0,0.01780104712041885,0.9916230366492147,False,at_capacity,oracle escalating the same k (budget-constrained),47.32780447811231,47.32780447811232,0.9999999999999999,4.867103430594083,14.28455699324966,0.002570694087403599,0.1028381410095829,0.3018216701739427,-0.19898352916435974,246.6178238736764,0.019735408228592315,0.05792183536809795,1000.0,0.0,-10.546565439462325,-24.405413380929062,2.2524032122486197,-0.6056242621016047,0.3805314025973864,-0.6080163832944261,0.09218089872378084,0.95,False,False,0.0205507069681005,-0.628008927787519,-0.02940560931550976
evaluation,nuScenes,oracle,plan_ade,JC_ade,mJ,0.3,43.70397044070172,,,0.06310186642451769,,,,,,23.70561041501833,66.66120008561128,15.791913882183096,R2_cnn_clf,,0.0979254661793175,,73.0,752.0,24.0,1.0,146.0,596.0,0.19414893617021275,0.7925531914893617,False,share_below_positives,oracle escalating the same k (budget-constrained),76.65237023505672,86.6346772761253,0.8847770043714412,-0.9125061917373742,-0.24521839311481364,0.0136986301369863,-0.011904474564049977,-0.0031990973320569775,-0.008705377231992998,3015.1530604685695,-0.0003026400893875571,-8.132867161201611e-05,1000.0,0.0,-2.7903512647974122,-22.50053016507764,5.381596023716213,-0.2996675833679229,0.07645200847629958,-0.26057763784847515,0.0834527106891399,0.641,False,False,0.011874088047983096,-0.09404642945996056,0.19540141252337656
