track,geometry,system,target,signal,quota,n_test_units,n_test_frames,available,undefined_reason,all_cheap_loss,gain,gain_random,delta_vs_random,delta_lo_all_draws,delta_hi_all_draws,delta_share_all_cheap,delta_share_lo_all_draws,delta_share_hi_all_draws,beats_random_all_draws,ndg,ndg_official,ndg_lo_filtered,ndg_hi_filtered,ndg_draws_dropped_by_filter,delta_lo_filtered,delta_hi_filtered,beats_random_filtered,interval
KITTI,oracle,traj,JB,trivial_ego_speed,0.5,6.0,3536.0,,,1799.2805109286678,932.7396212709591,467.20224328000313,465.537377990956,18.50744410440091,912.7148598165701,0.25873529733875505,0.010286024881605932,0.5072665736514247,True,0.9957846011367393,,,,,192.7845202307544,912.7148598165702,True,above random
KITTI,oracle,traj,JB,uncertainty,0.1,6.0,3536.0,,,1799.2805109286678,-1.101556192871035,93.54615052099611,-94.64770671386714,-192.58279859309337,-3.262773298744621,-0.05260308558837018,-0.10703322657215637,-0.0018133766685777064,False,-0.001176011685504606,-0.001176011685504606,-0.003453667782897828,0.051544773751093474,89.0,-193.11161557294437,-38.754463951886834,False,below random
KITTI,oracle,traj,JB,uncertainty,0.2,6.0,3536.0,,,1799.2805109286678,29.096456618862856,186.82804637950352,-157.73158976064067,-343.95973859147347,-6.771095420699069,-0.08766370157548709,-0.19116515546202661,-0.0037632238995376458,False,0.031063120712323585,0.031063120712323585,-0.0026342717386438376,0.0617325089213065,89.0,-344.5214619766588,-72.42580064389199,False,below random
KITTI,oracle,traj,JB,uncertainty,0.3,6.0,3536.0,,,1799.2805109286678,46.08545840449857,280.3741969004996,-234.28873849600103,-475.0276393297811,-10.136643284541453,-0.13021245829816547,-0.26400977304233886,-0.0056337203804367325,False,0.049200429325598566,0.049200429325598566,0.004248169803178043,0.0661589406098797,89.0,-475.93530134773573,-103.01103157523605,False,below random
KITTI,oracle,traj,JB,uncertainty,0.5,6.0,3536.0,,,1799.2805109286678,77.52197416395558,467.20224328000313,-389.68026911604755,-663.0407642427157,-16.526543755831703,-0.21657560716584473,-0.3685032768461981,-0.009185084624354549,False,0.0827617765577496,0.0827617765577496,0.02872632615535541,0.31786987994776866,89.0,-665.8583356238355,-178.0414877733316,False,below random
nuPlan,n/a,idm,safety,R1_gbm_clf,0.1,9.0,384.0,,near-zero oracle: 4 affected states on this split (< 10),326.3421308746392,1.1548463908441906,1.1548463908441906,0.0,0.0,4.440892098500626e-16,0.0,0.0,1.3608086968723466e-18,False,,,,,380.0,-1.6098233857064723e-16,4.440892098500626e-16,False,includes 0
nuPlan,n/a,idm,scalar_J,R1_gbm_clf,0.1,9.0,384.0,,,391.74710064502096,0.0,1.1840149027250237,-1.1840149027250237,-3.628284685164733,0.7533914665717418,-0.0030223960835332664,-0.009261803544150488,0.001923157734495711,False,0.0,0.0,0.0,0.060808378532746156,341.0,-3.7040101433402755,-0.2716350251962755,False,includes 0
nuPlan,n/a,idm,safety,R1_gbm_clf,0.2,9.0,384.0,,near-zero oracle: 4 affected states on this split (< 10),326.3421308746392,2.3400834761842813,2.3400834761842813,0.0,-1.3877787807814457e-17,8.881784197001252e-16,0.0,-4.252527177726083e-20,2.7216173937446933e-18,False,,,,,380.0,-4.440892098500626e-16,8.881784197001252e-16,False,includes 0
nuPlan,n/a,idm,scalar_J,R1_gbm_clf,0.2,9.0,384.0,,,391.74710064502096,0.7666728459339928,2.399188092363864,-1.6325152464298713,-6.728441824199106,1.94605770042991,-0.0041672682292782665,-0.017175473189515802,0.004967637787811778,False,0.05920998476215632,0.05920998476215632,0.0030961635185894417,0.19938001362121535,341.0,-6.891272765540761,0.36729337099541043,False,includes 0
nuPlan,n/a,idm,safety,R1_gbm_clf,0.3,9.0,384.0,,near-zero oracle: 4 affected states on this split (< 10),326.3421308746392,3.4949298670284716,3.4949298670284716,0.0,-5.689893001203919e-17,1.7763568394002505e-15,0.0,-1.7435361428676917e-19,5.4432347874893866e-18,False,,,,,380.0,-4.440892098500626e-16,1.7763568394002505e-15,False,includes 0
nuPlan,n/a,idm,scalar_J,R1_gbm_clf,0.3,9.0,384.0,,,391.74710064502096,1.1651630703411189,3.5832029950888877,-2.418039924747769,-9.871824909035004,17.220725250762484,-0.006172451361519737,-0.02519948429173007,0.04395878162827025,False,0.08998530208315816,0.08998530208315816,0.008167454199912546,0.9933578117401889,341.0,-10.070700375620127,17.33528201044322,False,includes 0
nuPlan,n/a,idm,safety,R1_gbm_clf,0.5,9.0,384.0,,near-zero oracle: 4 affected states on this split (< 10),326.3421308746392,5.8350133432127524,5.8350133432127524,0.0,-1.1379786002407839e-16,2.6645352591003757e-15,0.0,-3.4870722857353835e-19,8.16485218123408e-18,False,,,,,380.0,-8.881784197001252e-16,3.552713678800501e-15,False,includes 0
nuPlan,n/a,idm,scalar_J,R1_gbm_clf,0.5,9.0,384.0,,,391.74710064502096,12.861335303440383,5.9823910874527515,6.878944215987631,0.3631166732155527,18.757400700851036,0.0175596557183481,0.0009269160451160261,0.047881402746737696,True,0.9932782560075849,0.9932782560075849,0.9928037369495657,0.9937877579440526,341.0,6.02403316122259,18.94237289432338,True,above random
nuPlan,n/a,idm,safety,R1_gbm_reg,0.1,9.0,384.0,,near-zero oracle: 4 affected states on this split (< 10),326.3421308746392,0.0,1.1548463908441906,-1.1548463908441906,-3.5040520961929027,0.10669468855366125,-0.003538759729701625,-0.01073735740709172,0.00032694120206822714,False,,,,,380.0,-3.5646174935747443,-0.9518943534959439,False,includes 0
nuPlan,n/a,idm,scalar_J,R1_gbm_reg,0.1,9.0,384.0,,,391.74710064502096,0.0,1.1840149027250237,-1.1840149027250237,-3.628884110358788,0.19671775261979485,-0.0030223960835332664,-0.009263333677221207,0.000502154967569369,False,0.0,0.0,0.0,0.0,341.0,-3.7040101433402755,-0.9579867452923354,False,includes 0
nuPlan,n/a,idm,safety,R1_gbm_reg,0.2,9.0,384.0,,near-zero oracle: 4 affected states on this split (< 10),326.3421308746392,1.2587061224127776,2.3400834761842813,-1.0813773537715037,-2.963619832005676,0.11174363363700399,-0.003313630853832057,-0.009081327697600032,0.00034241252680895524,False,,,,,380.0,-3.1382757542705466,-0.5993708116527876,False,includes 0
nuPlan,n/a,idm,scalar_J,R1_gbm_reg,0.2,9.0,384.0,,,391.74710064502096,0.0,2.399188092363864,-2.399188092363864,-7.292012074557076,0.3934355052395897,-0.006124328906106883,-0.018614080519168116,0.001004309935138738,False,0.0,0.0,0.0,0.0,341.0,-7.402085353069672,-1.9364792204080667,False,includes 0
