status,track,geometry,system,target,signal,seed,shipped_seed,quota,plan,ndg,minus_random,minus_random_lo,minus_random_hi,win,loss,row_type,ndg_min,ndg_median,ndg_max,wins,seeds,shipped_win,flag_shipped_win_not_robust
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_mlp_clf,4.0,False,0.2,routers_r1,0.3076703395097524,0.15725618122502358,-0.005548372344492974,0.2756406656949903,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_mlp_clf,5.0,False,0.2,routers_r1,0.3173682482701408,0.175936231670648,-0.0007799147832314083,0.3160198961760048,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_gbm_reg,0.0,True,0.2,routers_r1,0.2927409444343634,0.15753101240073514,-0.003569181707555892,0.3725761239043044,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_gbm_reg,1.0,False,0.2,routers_r1,0.2927409444343634,0.15753101240073514,-0.003569181707555892,0.3725761239043044,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_gbm_reg,2.0,False,0.2,routers_r1,0.2927409444343634,0.15753101240073514,-0.003569181707555892,0.3725761239043044,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_gbm_reg,3.0,False,0.2,routers_r1,0.2927409444343634,0.15753101240073514,-0.003569181707555892,0.3725761239043044,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_gbm_reg,4.0,False,0.2,routers_r1,0.2927409444343634,0.15753101240073514,-0.003569181707555892,0.3725761239043044,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_gbm_reg,5.0,False,0.2,routers_r1,0.2927409444343634,0.15753101240073514,-0.003569181707555892,0.3725761239043044,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_gbm_clf,0.0,True,0.2,routers_r1,0.3604847504468612,0.23054995008353268,0.03790189477095543,0.4182272016431735,True,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_gbm_clf,1.0,False,0.2,routers_r1,0.3604847504468612,0.23054995008353268,0.03790189477095543,0.4182272016431735,True,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_gbm_clf,2.0,False,0.2,routers_r1,0.3604847504468612,0.23054995008353268,0.03790189477095543,0.4182272016431735,True,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_gbm_clf,3.0,False,0.2,routers_r1,0.3604847504468612,0.23054995008353268,0.03790189477095543,0.4182272016431735,True,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_gbm_clf,4.0,False,0.2,routers_r1,0.3604847504468612,0.23054995008353268,0.03790189477095543,0.4182272016431735,True,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_gbm_clf,5.0,False,0.2,routers_r1,0.3604847504468612,0.23054995008353268,0.03790189477095543,0.4182272016431735,True,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,gate_gbm,0.0,True,0.2,benchmark_table,0.22621226805083577,0.14132820640279342,-0.060422750613506646,0.4082880467988298,False,False,seed,,,,,,,
