registry_version,track,geometry,system,target,signal,quota,k,n_frames,all_cheap_loss,identity_checked,benefit_share,benefit_share_lo,benefit_share_hi,harm_share,harm_share_lo,harm_share_hi,missed_benefit_share,missed_benefit_share_lo,missed_benefit_share_hi,budget_forced_share,budget_forced_share_lo,budget_forced_share_hi,gain_share,gain_share_lo,gain_share_hi,oracle_gain_share,oracle_gain_share_lo,oracle_gain_share_hi,benefit_minus_random,benefit_minus_random_lo,benefit_minus_random_hi,harm_minus_random,harm_minus_random_lo,harm_minus_random_hi,missed_benefit_minus_random,missed_benefit_minus_random_lo,missed_benefit_minus_random_hi,gain_minus_random,gain_minus_random_lo,gain_minus_random_hi
2026-09-23.1,nuScenes,oracle,brake,J,gate_ridge,0.2,191,955,246.6178238736764,True,0.07047179486478143,0.0008769173196388417,0.1690564776099881,0.021734033314419,0.0,0.08309706184112864,0.12532834528586112,0.04243410357606711,0.18307949552597974,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.04873776155036244,-0.03531937305144312,0.15784993256792054,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.031311766834652914,-0.01746405508940064,0.11882809805447281,0.011435480473357412,-0.012031579410990917,0.056139148492705786,-0.03131176683465292,-0.11882809805447285,0.017464055089400635,0.01987628636129552,-0.04340557181988732,0.11959592716710711
2026-09-23.1,nuScenes,oracle,brake,J,gate_ridge,0.3,286,955,246.6178238736764,True,0.11273321690596848,0.019542598768884225,0.23858060100760603,0.021734033314419,0.0,0.08309706184112864,0.08306692324467407,0.017540828118101877,0.15553524163213012,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.09099918359154949,-0.026697202270989106,0.22537971280848246,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.05409568802315824,-0.02090362765254094,0.15612178307849814,0.006313163615237774,-0.019220424112052912,0.044523106192616554,-0.05409568802315823,-0.15612178307849814,0.02090362765254093,0.047782524407920496,-0.04066879291571866,0.15541317736694413
2026-09-23.1,nuScenes,oracle,brake,J,gate_ridge,0.5,478,955,246.6178238736764,True,0.13958010186684694,0.03817530231574532,0.27083723087656636,0.021734033314419,0.0,0.08309706184112864,0.05622003828379561,0.0032443442053273546,0.10901524664082023,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.11784606855242799,0.0021686141005697285,0.24999233592075115,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.041577518629143106,-0.025575375366167125,0.12885840142667102,-0.004039308350646129,-0.03504654965080244,0.025115718455507932,-0.04157751862914312,-0.12885840142667102,0.025575375366167122,0.04561682697978932,-0.02608515020917522,0.1379565912159066
2026-09-23.1,nuScenes,oracle,brake,J,gate_gbm,0.1,96,955,246.6178238736764,True,0.03661535836365739,0.0003110568907016284,0.11187620654811223,0.019052994263886805,0.0,0.07280270299398355,0.15918478178698517,0.053128197208258995,0.25171551134559145,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.017562364099770574,-0.04490393100978418,0.09285700446123947,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.016932831186210598,-0.01993301319727222,0.08917803779758761,0.013876758280944854,-0.007173348121081967,0.061662790819350194,-0.016932831186210584,-0.08917803779758761,0.019933013197272198,0.0030560729052657356,-0.05394610441571712,0.07552230637558534
2026-09-23.1,nuScenes,oracle,brake,J,gate_gbm,0.2,191,955,246.6178238736764,True,0.05239394936305644,0.007703690177111869,0.14076799472609844,0.01925573711196907,0.0,0.073401685261221,0.1434061907875861,0.025770300982689325,0.24422363820095674,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.03313821225108736,-0.03663635796485111,0.11470772128064034,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.013233921332927924,-0.031986754666566156,0.09659569342080965,0.008957184270907482,-0.012951462240438801,0.051600041390517305,-0.013233921332927945,-0.09659569342080966,0.03198675466656616,0.00427673706202044,-0.05594963082284662,0.08772606894821378
2026-09-23.1,nuScenes,oracle,brake,J,gate_gbm,0.3,286,955,246.6178238736764,True,0.08795654006655161,0.03095474448800493,0.179742203932777,0.02249962268128534,0.0005375857785368181,0.08326634125263928,0.10784360008409094,0.022224827054864983,0.1953613288013778,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.06545691738526625,-0.015302384958029597,0.15397800654944085,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.029319011183741375,-0.02129781940148858,0.10003346383603032,0.007078752982104114,-0.012365496937843777,0.04694218469785679,-0.02931901118374136,-0.10003346383603032,0.021297819401488567,0.02224025820163726,-0.04024511558541899,0.09402669995630199
2026-09-23.1,nuScenes,oracle,brake,J,gate_gbm,0.5,478,955,246.6178238736764,True,0.13627213155482024,0.0443136619975732,0.2414106683591472,0.02623009108599905,0.0023984333908547155,0.08701033108621656,0.059528008595822315,0.008739867905310434,0.1386016667767349,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.11004204046882123,-0.005468869268212731,0.22200759310515633,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.0382695483171164,-0.023493636040383438,0.10205184249380646,0.000456749420933919,-0.024258275144225037,0.02817630123283874,-0.03826954831711642,-0.10205184249380644,0.023493636040383434,0.03781279889618255,-0.03084397617047273,0.10919854581384801
2026-09-23.1,nuScenes,oracle,brake,J,R1_mlp_reg,0.1,96,955,246.6178238736764,True,0.0248673938520795,0.0008954519731421699,0.05142902779234907,0.0008920685315619737,0.00011772667572372672,0.002539073241895973,0.17093274629856306,0.07560218103345943,0.2850999905442716,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.02397532532051752,-0.0004009560126038463,0.0506055797275021,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.005184866674632707,-0.02527788796762633,0.034024341416464494,-0.004284167451379977,-0.012231022334632411,-0.0006335163903220396,-0.005184866674632693,-0.03402434141646452,0.025277887967626332,0.009469034126012682,-0.02011672821803576,0.03816178384205562
2026-09-23.1,nuScenes,oracle,brake,J,R1_mlp_reg,0.2,191,955,246.6178238736764,True,0.06712881589326655,0.01606570268344217,0.1134590634166718,0.0014549150503460478,0.00020455696281242692,0.0037941415345605807,0.128671324257376,0.05888292623479752,0.2135602665926359,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.0656739008429205,0.013221568879450647,0.1124809221454649,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.027968787863138035,-0.01641650301576158,0.06262572110930954,-0.008843637790715541,-0.02498428389509211,-0.0011072984411273443,-0.027968787863138028,-0.06262572110930952,0.01641650301576157,0.036812425653853585,-0.0032097186216618733,0.07214060111700664
2026-09-23.1,nuScenes,oracle,brake,J,R1_mlp_reg,0.3,286,955,246.6178238736764,True,0.08071590177189167,0.02358084570760554,0.11941540666378728,0.0014549150503460478,0.0002182674575502224,0.0037941415345605807,0.11508423837875088,0.0477247652887347,0.20393240128528017,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.07926098672154563,0.020899872501359693,0.11851449713338692,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.022078372889081432,-0.025689915775950162,0.0489785796641883,-0.01396595464883518,-0.0391433540196167,-0.002313590767828653,-0.02207837288908142,-0.04897857966418828,0.025689915775950176,0.03604432753791664,-0.006738531494633829,0.06455643403511661
