track,geometry,system,target,architecture,objective,variant,quota,k,ndg,ndg_lo,ndg_hi,minus_random,minus_random_lo,minus_random_hi,boot_dropped,n_frames,n_units,budget_ms_feasible,budget_ms_escalated_frac,budget_ms_ndg,budget_mJ_feasible,budget_mJ_escalated_frac,budget_mJ_ndg,counterpart,minus_V,minus_V_lo,minus_V_hi
KITTI,mono,traj,JB,R1_gbm_clf,V,,0.3,1061,-0.3362543040825143,-0.997386609761553,0.1688810745917702,-0.17970530231920445,-0.6958815120996551,0.12363581676334337,8,3536,6,False,,,False,,,,,,
KITTI,mono,traj,JB,R1_gbm_clf,V,,0.5,1768,-0.5250139874981182,-1.42740158802924,0.42159000528241947,-0.24129419839771818,-0.7008032046254637,0.08395382562237899,8,3536,6,False,,,False,,,,,,
KITTI,mono,traj,JB,R1_gbm_clf,Q,,0.1,354,0.07118729315829957,-0.05275467524691462,0.3867483675323458,0.1618131211120521,-0.07030808574274222,0.4064360718310477,8,3536,6,False,,,False,,,R1_gbm_clf|V,0.29977809158527235,0.04689620836516667,0.6330274909336432
KITTI,mono,traj,JB,R1_gbm_clf,Q,,0.2,707,-0.05680597994796625,-0.4331245007197459,0.4952011504144382,0.058897308810978,-0.14989446731182937,0.3561518432678619,8,3536,6,False,,,False,,,R1_gbm_clf|V,0.21051935769244298,-0.12922126558298538,0.6841921813619609
KITTI,mono,traj,JB,R1_gbm_clf,Q,,0.3,1061,-0.1940021888573697,-0.4683672987538365,0.42253433139031077,-0.010873250045507273,-0.17852421630448007,0.1757531509856558,8,3536,6,False,,,False,,,R1_gbm_clf|V,0.1688320522736972,-0.18909319291181428,0.8017972302775773
KITTI,mono,traj,JB,R1_gbm_clf,Q,,0.5,1768,-0.25788365165019195,-0.9736981098146221,0.3909513568821743,-0.12056119836641438,-0.40700975988644633,0.10552781506173459,8,3536,6,False,,,False,,,R1_gbm_clf|V,0.12073300003130376,-0.16673909873276607,0.5880002823950766
KITTI,mono,traj,JB,R1_gbm_clf,G,,0.1,354,-0.007577519127973996,-0.06683682244664858,0.2795966172202298,0.0675942613628824,-0.11639095944094213,0.4176602582289918,8,3536,6,False,,,False,,,R1_gbm_clf|V,0.2055592318361026,-0.03646453939468286,0.6344287959440489
KITTI,mono,traj,JB,R1_gbm_clf,G,,0.2,707,-0.2827534384665618,-0.559795265115972,0.26130239173633957,-0.00908366514703256,-0.4225243266701909,0.41527081270021415,8,3536,6,False,,,False,,,R1_gbm_clf|V,0.14253838373443245,-0.19446729807867397,0.6011171396355323
KITTI,mono,traj,JB,R1_gbm_clf,G,,0.3,1061,-0.4846652443659237,-1.0492703170309041,0.6166529203574515,-0.13368953702673775,-0.6778384279002952,0.5288339905231437,8,3536,6,False,,,False,,,R1_gbm_clf|V,0.046015765292466725,-0.46758549827528273,0.6295800095503328
KITTI,mono,traj,JB,R1_gbm_clf,G,,0.5,1768,-0.5426108658058548,-1.5714517470905565,0.6920532374561127,-0.23133081723188967,-0.7830052628414348,0.29854224539005286,8,3536,6,False,,,False,,,R1_gbm_clf|V,0.009963381165828514,-0.4809461334302539,0.46224116518031566
KITTI,mono,traj,JB,R2_cnn_clf,V,,0.1,354,-0.06331065256983939,-0.22721616186826638,0.02088826772558485,-0.06005603935331528,-0.27102250942810413,0.1526973454356824,8,3536,6,False,,,False,,,,,,
KITTI,mono,traj,JB,R2_cnn_clf,V,,0.2,707,-0.1994615122707147,-0.35027723402046995,0.014680842378905185,-0.12919179459584001,-0.3626397532785387,0.10044929338094723,8,3536,6,False,,,False,,,,,,
KITTI,mono,traj,JB,R2_cnn_clf,V,,0.3,1061,-0.14218902281981435,-0.5500946066626283,0.15376367170262084,-0.09960257777558988,-0.4123356495111862,0.20479723737694278,8,3536,6,True,0.03920713491760384,-0.003906707151158498,True,0.06433421244540062,-0.0005934274813118381,,,,
KITTI,mono,traj,JB,R2_cnn_clf,V,,0.5,1768,-0.20119133524303823,-0.7363961081159656,0.4304968896979294,-0.03222148509512622,-0.43516484529489463,0.23695910690688826,8,3536,6,True,0.23920713491760384,-0.19994447618423444,True,0.2643342124454006,-0.07720565790938208,,,,
KITTI,mono,traj,JB,R2_cnn_clf,Q,,0.1,354,-0.43907643239921806,-0.7425663752656939,0.016733184985117833,-0.3130071061331608,-0.6236915448139385,-0.07272727475288318,8,3536,6,False,,,False,,,R2_cnn_clf|V,-0.2529510667798455,-0.6801041830933949,0.1927115339005945
KITTI,mono,traj,JB,R2_cnn_clf,Q,,0.2,707,-0.6231516840943353,-1.1751474288173747,0.02790874622261897,-0.45792451655516525,-0.8266446159509326,-0.1486488716869374,8,3536,6,False,,,False,,,R2_cnn_clf|V,-0.32873272195932524,-0.8989383497574286,0.19818934141204306
