group,file,item,statistic,old,new,delta,note
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S0 | all,rho,0.535476283396324,0.4070280287265681,-0.1284482546697559,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S0 | all,all_full_reduction,0.1299447335931296,0.1646550986224518,0.034710365029322204,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S0 | all,oracle20_reduction,0.2797375654858041,0.2776777092327792,-0.0020598562530249054,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S0 | all,harm_rate_lo,0.3816321006163584,0.3179922538730635,-0.06363984674329487,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S0 | all,harm_rate_hi,0.5213580850024426,0.469708276797829,-0.05164980820461362,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S0 | all,rho_lo,0.3576188432747805,0.2756816756330787,-0.08193716764170178,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S0 | all,rho_hi,0.7738805579610003,0.5763846516558361,-0.19749590630516423,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S1 | all,affected,407,224,-183.0,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S1 | all,harm_rate,0.3832923832923833,0.3616071428571428,-0.021685240435240505,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S1 | all,rho,0.4000205292587495,0.3386765281570794,-0.0613440011016701,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S1 | all,all_full_reduction,0.1549005224490695,0.1593047318080772,0.004404209359007705,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S1 | all,oracle20_reduction,0.2581763710309896,0.2408877630853481,-0.01728860794564152,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S1 | all,harm_rate_lo,0.3271259386733416,0.2985009164702801,-0.028625022203061512,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S1 | all,harm_rate_hi,0.4434291692545179,0.4224429679265171,-0.02098620132800083,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S1 | all,rho_lo,0.2818356659383732,0.2300942443861198,-0.05174142155225342,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S1 | all,rho_hi,0.5892718426079838,0.4853327531026689,-0.10393908950531494,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S2 | all,affected,430,238,-192.0,outside Task 22 tolerance
