architecture,label,track,geometry,system,target,quota,minus_V,minus_V_lo,minus_V_hi,status
R1_mlp_reg,Q,KITTI,oracle,brake,J,0.3,-0.20609826598944458,-0.3268748693412848,0.03870700911451458,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,oracle,brake,J,0.5,-0.17581737319359675,-0.3137699268716983,0.10450188003581287,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,oracle,brake,J,0.1,-0.0810449241156257,-0.22035542404178637,0.06298957670423347,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,oracle,brake,J,0.2,-0.1298280601072622,-0.2926207769716661,0.13207668507278122,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,oracle,brake,J,0.3,-0.2266903348216133,-0.2908481045836106,0.14374691146413746,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,oracle,brake,J,0.5,-0.22352275909012592,-0.3350573410157813,0.21895887926610128,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,oracle,brake,J,0.1,0.05107698906499289,-0.11925010551084876,0.11240758745672323,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,oracle,brake,J,0.2,-0.018370600453244623,-0.1285651591625135,0.08664114028447487,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,oracle,brake,J,0.3,-0.06299404572132716,-0.14752939595180775,0.05066484744939088,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,oracle,brake,J,0.5,-0.012680050394499265,-0.17929930184534923,0.11103109301841654,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,oracle,brake,J,0.1,0.024397507036659105,-0.004911573827465508,0.0757869005378791,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,oracle,brake,J,0.2,-0.00714264985846591,-0.01566724138661286,0.1032979982570036,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,oracle,brake,J,0.3,0.0639297278857438,-0.024269949421953874,0.11512668889800381,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,oracle,brake,J,0.5,0.041603649449620805,-0.04401740725679526,0.09322551918916011,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,KITTI,oracle,brake,J,0.1,-0.09781061483235831,-0.38674039271530813,-0.013215597287303635,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,KITTI,oracle,brake,J,0.2,-0.21643568948132916,-0.4656087912445022,-0.008441515549706877,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,KITTI,oracle,brake,J,0.3,-0.33382882643460027,-0.48011995336442836,0.04012648897901062,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,KITTI,oracle,brake,J,0.5,-0.17598663457906694,-0.3449384513290307,0.2658905443067012,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,KITTI,oracle,brake,J,0.1,-0.06713083670853137,-0.30638903415054475,0.031092539065437866,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,KITTI,oracle,brake,J,0.2,-0.16443423022712833,-0.3655690578416455,0.1830945840252945,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,KITTI,oracle,brake,J,0.3,-0.21065825252212178,-0.34757378801939093,0.18173705168009643,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,KITTI,oracle,brake,J,0.5,-0.15313076026494277,-0.35177062336278114,0.2770710810755953,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,KITTI,oracle,traj,JB,0.1,-0.12022899206878725,-0.3352379873117822,-0.00046297568606112893,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,KITTI,oracle,traj,JB,0.2,-0.12272302108767197,-0.3660333362864897,0.04355180071517955,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,KITTI,oracle,traj,JB,0.3,-0.14220094568216535,-0.3256572845770918,-0.039966042772013904,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,KITTI,oracle,traj,JB,0.5,-0.17645517536387034,-0.3020501101248922,-0.002341327768033974,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,oracle,traj,JB,0.1,-0.18412210952476607,-0.36741033280908125,-0.06935638115181571,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,oracle,traj,JB,0.2,-0.16204667567663555,-0.424675394213586,0.056872203503743356,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,oracle,traj,JB,0.3,-0.0340938382705831,-0.2724735881442038,0.10945126401942427,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,oracle,traj,JB,0.5,0.024049509780055045,-0.05102140456107586,0.20853225904797235,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,oracle,traj,JB,0.1,-0.12311628313782602,-0.36887875925999225,0.180780833614133,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,oracle,traj,JB,0.2,-0.1041371983985574,-0.7030637217673714,0.2719194353002204,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,oracle,traj,JB,0.3,-0.09594412903067212,-0.7174345181682403,0.2276068152070601,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,oracle,traj,JB,0.5,-0.1217081266019171,-0.47329960466440946,0.1479660884337317,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,oracle,traj,JB,0.1,-0.11733766540127653,-0.37049013927328295,0.13531115604483665,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,oracle,traj,JB,0.2,-0.08817217627109747,-0.6467466576278127,0.2918963606971632,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,oracle,traj,JB,0.3,-0.13016281567202376,-0.6529256612623388,0.14109650441790342,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,oracle,traj,JB,0.5,-0.1987853805049551,-0.40028775817944096,0.027374574829943824,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,oracle,traj,JB,0.1,-0.025821872821312986,-0.18074090297303297,0.06037400632798556,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,oracle,traj,JB,0.2,-0.07914922906725835,-0.23955668610420267,-0.005275828117766057,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,oracle,traj,JB,0.3,-0.15783436985246013,-0.31643497133506304,0.012607293281349996,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,oracle,traj,JB,0.5,-0.06194515667006584,-0.25076614699820454,0.06395115964915299,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,oracle,traj,JB,0.1,0.03015221007989166,-0.0901397483804583,0.07434787035337675,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,oracle,traj,JB,0.2,-0.028550307023128774,-0.09761476051011489,0.08342614736359835,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,oracle,traj,JB,0.3,0.01931777257409717,-0.05419468455830542,0.08791255085558314,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,oracle,traj,JB,0.5,0.06462881174218227,-0.0019492444055219105,0.11826404955726455,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,KITTI,oracle,traj,JB,0.1,-0.22236501426936467,-0.6898974715880943,0.19678335641879605,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,KITTI,oracle,traj,JB,0.2,-0.2613106968110884,-0.8790472787488366,0.19380502075037534,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,KITTI,oracle,traj,JB,0.3,-0.3806622154544679,-0.9041408800350406,0.10972175205884133,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,KITTI,oracle,traj,JB,0.5,-0.1066863239156659,-0.5243936055365049,0.16532674759758448,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,KITTI,oracle,traj,JB,0.1,-0.11926168896616618,-0.5515719593610217,0.17201193485583458,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,KITTI,oracle,traj,JB,0.2,-0.15797580039741732,-0.7164522767740581,0.10552168204211561,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,KITTI,oracle,traj,JB,0.3,-0.25260645448956304,-0.7149838780059041,0.054068713353631136,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,KITTI,oracle,traj,JB,0.5,-0.10497731466977334,-0.4062759641636073,0.11511471076466029,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,nuScenes,mono,brake,J,0.1,-0.22017841943356092,-0.43450819862975437,-0.04038495652939618,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,nuScenes,mono,brake,J,0.2,-0.385413038674951,-0.6979267154469078,-0.07939065675088212,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,nuScenes,mono,brake,J,0.3,-0.31178125484803554,-0.7228288661404402,0.007536662765839852,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,nuScenes,mono,brake,J,0.5,-0.393861109208995,-0.7995430855204756,-0.09664164016569853,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,nuScenes,mono,brake,J,0.1,-0.09714371978053321,-0.19528186903181488,0.006880203015086359,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,nuScenes,mono,brake,J,0.2,-0.08006673256849989,-0.27592998009648684,0.10742240498268298,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,nuScenes,mono,brake,J,0.3,0.045537139483512734,-0.2884631479270642,0.1787853375688461,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,nuScenes,mono,brake,J,0.5,-0.263406791565684,-0.514304018602017,0.25492796462072725,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,nuScenes,mono,brake,J,0.1,-0.19906071254004554,-0.5315771417491775,0.06903570587011951,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,nuScenes,mono,brake,J,0.2,-0.3172510913233616,-0.7136196519318588,0.10967699601714191,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,nuScenes,mono,brake,J,0.3,-0.20645676097748708,-0.6688421273029413,0.2548783649509975,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,nuScenes,mono,brake,J,0.5,-0.37027052270058725,-0.7706639075388837,0.07364974913708139,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,nuScenes,mono,brake,J,0.1,-0.1797220812881571,-0.3975136125056739,0.1029595077639742,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,nuScenes,mono,brake,J,0.2,-0.13067901255152004,-0.47258231432369513,0.22736445746104703,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,nuScenes,mono,brake,J,0.3,-0.05155179954874678,-0.4453787692764922,0.3326362344104501,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,nuScenes,mono,brake,J,0.5,-0.3209556506198764,-0.5983136672754121,0.20405158657458375,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,nuScenes,mono,brake,J,0.1,-0.014012611769192773,-0.3341803899325693,0.2067481776910663,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,nuScenes,mono,brake,J,0.2,-0.11670020826112998,-0.4798527291548567,0.1346506382640178,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,nuScenes,mono,brake,J,0.3,-0.020181799080851326,-0.4085417916743117,0.175267918405613,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,nuScenes,mono,brake,J,0.5,-0.22923202996774744,-0.602733610454336,0.0007395793136810694,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,nuScenes,mono,brake,J,0.1,0.0755848153279399,-0.25294425766070805,0.30225045262994554,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,nuScenes,mono,brake,J,0.2,0.0418535974566851,-0.23322247718327863,0.2319382890112913,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,nuScenes,mono,brake,J,0.3,0.10951858780403206,-0.1568977338876834,0.2684725093733843,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,nuScenes,mono,brake,J,0.5,-0.035991877809954054,-0.22179830987449345,0.07367615445341207,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,nuScenes,mono,brake,J,0.1,-0.09433504029281749,-0.3149867108034916,0.12448510862682681,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,nuScenes,mono,brake,J,0.2,-0.2733728823192557,-0.4307577236505863,0.030356614689255795,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,nuScenes,mono,brake,J,0.3,-0.12914458178684798,-0.41703945960402555,0.27520944840937167,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,nuScenes,mono,brake,J,0.5,-0.1500239689943597,-0.3691245768595864,0.1532776246198872,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,nuScenes,mono,brake,J,0.1,-0.041089817397872985,-0.23097096509019044,0.27612693386434123,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,nuScenes,mono,brake,J,0.2,-0.1155860909813552,-0.3094475530062793,0.15222363075401968,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,nuScenes,mono,brake,J,0.3,-0.10413122877472697,-0.4201689058776639,0.18548230060961748,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,nuScenes,mono,brake,J,0.5,-0.14464863441894993,-0.5117681893299015,0.24230504410085826,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,nuScenes,mono,plan_ade,JC_ade,0.1,-0.2106137871552838,-0.33298151185554586,0.03850826648620501,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,nuScenes,mono,plan_ade,JC_ade,0.2,-0.17111846712704243,-0.30430131095519214,0.15450975837734257,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,nuScenes,mono,plan_ade,JC_ade,0.3,-0.02357723674851986,-0.20973382297573515,0.31916597945575725,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,nuScenes,mono,plan_ade,JC_ade,0.5,0.07775142688087816,-0.16758219876755687,0.3266288058250751,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,nuScenes,mono,plan_ade,JC_ade,0.1,-0.0944451871953865,-0.2762853910193733,0.13086757174925284,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,nuScenes,mono,plan_ade,JC_ade,0.2,-0.002204583478213701,-0.303961491613071,0.2600115193328606,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,nuScenes,mono,plan_ade,JC_ade,0.3,0.0026337750269092575,-0.2900484249297594,0.26044620725623363,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,nuScenes,mono,plan_ade,JC_ade,0.5,0.05868493717670459,-0.21408791149662207,0.24518423600903133,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,nuScenes,mono,plan_ade,JC_ade,0.1,-0.06748140813630414,-0.2465893353710001,0.0566244734037344,post-hoc (decided after Task 24's test results were seen)
