geometry,target,signal,deployable,quota,eta,n_escalated,boot_dropped,n_frames,lo,hi,minus_random,minus_random_lo,minus_random_hi,p_le_random,minus_unc_sum,minus_unc_sum_lo,minus_unc_sum_hi
oracle,plan,unc_sum (eta-table uncertainty),True,0.1,0.04853490095249635,266.0,0,2655,-0.026822805417176833,0.1471501499295348,0.02702666772814152,-0.05394088177915395,0.12335602556435359,0.29,,,
oracle,plan,feat_ent_mean (gate uncertainty),True,0.1,0.10595772882229053,266.0,0,2655,0.012336440285181934,0.20655164690617372,0.08284960462371721,-0.006634502185941112,0.17571559381813262,0.0425,0.0558229368955757,-0.08088212772128937,0.18452061571397732
oracle,plan,crit_sum (GT geometry),False,0.1,-0.02332287949386222,266.0,0,2655,-0.24866885028698862,0.13772076605432274,-0.0557986936266625,-0.24872281732644438,0.09344294570067059,0.735,-0.08282536135480402,-0.307542923728624,0.08823990575378113
oracle,plan,dE_E6_risk_weighted (needs FULL),False,0.1,0.09045117524072273,266.0,0,2655,-0.18730422947594796,0.29618822437657355,0.05794702242443488,-0.18980704864939432,0.26295038088726896,0.275,0.03092035469629336,-0.24018480658237853,0.2591628718951919
oracle,plan,linear (OOF by scene),True,0.1,0.13902693606729782,266.0,0,2655,0.0038544329982706472,0.2343653623215196,0.09071748852702287,-0.01844192675052579,0.19737448883093273,0.0575,0.06369082079888135,-0.09202595081355715,0.20495903846931632
oracle,plan,linear (OOF by scene) [escalate only pred>0],True,0.1,0.13902693606729782,266.0,0,2655,0.0038544329982706472,0.2343653623215196,0.09071748852702287,-0.01844192675052579,0.19737448883093273,0.0575,0.06369082079888135,-0.09202595081355715,0.20495903846931632
oracle,plan,gbm (OOF by scene),True,0.1,0.08033699300987084,266.0,0,2655,-0.05999253527781081,0.17417932955006607,0.025033597203211615,-0.08607154095970679,0.12991409735375253,0.32,-0.001993070524929905,-0.13605082059925888,0.12693903648931687
oracle,plan,gbm (OOF by scene) [escalate only pred>0],True,0.1,0.08033699300987084,266.0,0,2655,-0.05999253527781081,0.17417932955006607,0.025033597203211615,-0.08607154095970679,0.12991409735375253,0.32,-0.001993070524929905,-0.13605082059925888,0.12693903648931687
oracle,plan,random,True,0.2,0.05948552899575284,531.0,0,2655,,,,,,,,,
oracle,plan,unc_sum (eta-table uncertainty),True,0.2,0.13381028040316192,531.0,0,2655,0.022472235095648097,0.24002444350341642,0.07561048388207656,-0.03197856755040772,0.18374348559979642,0.0825,,,
oracle,plan,feat_ent_mean (gate uncertainty),True,0.2,0.12525973287766623,531.0,0,2655,0.033212031979365564,0.23302785153369665,0.07666519284234376,-0.009442406773044504,0.1682825046054061,0.05,0.0010547089602672003,-0.17062535466648934,0.1444635323460547
oracle,plan,crit_sum (GT geometry),False,0.2,0.015507804761078992,531.0,0,2655,-0.2292521820441498,0.165631525115074,-0.05670375266153214,-0.23719226629939483,0.08591775614155235,0.735,-0.13231423654360872,-0.3426607922689487,0.039761692626538774
oracle,plan,dE_E6_risk_weighted (needs FULL),False,0.2,0.18259806701431713,531.0,0,2655,-0.14136846963637398,0.3647922358746779,0.0884449793518814,-0.1466006389628791,0.28412910091198496,0.195,0.012834495469804854,-0.24449100955290046,0.23966219224997976
oracle,plan,linear (OOF by scene),True,0.2,0.11792033283675032,531.0,0,2655,-0.05305788655003303,0.2455427970305019,0.052062041565965805,-0.07341959610005212,0.1600116457654897,0.2025,-0.023548442316110762,-0.22011529680819814,0.1285407000214002
oracle,plan,linear (OOF by scene) [escalate only pred>0],True,0.2,0.11792033283675032,531.0,0,2655,-0.05305788655003303,0.2455427970305019,0.052062041565965805,-0.07341959610005212,0.1600116457654897,0.2025,-0.023548442316110762,-0.22011529680819814,0.1285407000214002
oracle,plan,gbm (OOF by scene),True,0.2,0.07888936798311619,531.0,0,2655,-0.0629427886981273,0.20718655862317167,0.024217910241139506,-0.08517028079067929,0.13458702657831284,0.3325,-0.05139257364093705,-0.21126046872502507,0.09704904435461084
