setting,system,side,term,n_inputs,n_side,total,term_sum,share,n_side_term_nonzero,core_run,planner_b_run
KITTI__YOLOv8s__cheap_384tofull_640__mono,brake,benefit,jerk,8008,1066,4217.661771588528,7.74,0.0018351400418447565,1065,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,brake,harm,shortfall,8008,630,1589.3664946903937,350.4257707526433,0.22048141314373546,392,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,brake,harm,collision,8008,630,1589.3664946903937,6.0,0.0037750890181995384,1,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,brake,harm,excess,8008,630,1589.3664946903937,1220.98072393775,0.7682184870617871,624,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,brake,harm,jerk,8008,630,1589.3664946903937,11.96,0.007525010776277747,630,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,brake,benefit,shortfall,8008,840,2583.338952335962,1232.6334426798317,0.4771473915822132,581,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,brake,benefit,collision,8008,840,2583.338952335962,12.0,0.004645151186664492,2,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,brake,benefit,excess,8008,840,2583.338952335962,1318.3155096561304,0.510314571173115,820,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,brake,benefit,jerk,8008,840,2583.338952335962,20.39,0.007892886058007417,839,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
nuScenes__YOLOv8s__ns_cheap_320tons_full_640__mono,brake,harm,shortfall,3376,108,167.83645092128364,8.366794287888776,0.04985087710066543,64,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
