group,track,geometry,trained_for,evaluated_on,diagonal,signal,quota,coverage,n_test_frames,n_test_units,gain,gain_random,delta_vs_random,gain_share_all_cheap,ndg,official_ndg,matches_3dp,undefined_reason,ndg_diag,transfer_regret,delta_lo_all_draws,delta_hi_all_draws,beats_random_all_draws,delta_lo_filtered,beats_random_filtered,draws_dropped_by_filter,delta_share_lo_all_draws,n_entries,median_transfer_regret,off_diag_beating_random_all_draws,off_diag_beating_random_filtered,diag_beating_random_all_draws,n_diag_entries
nuScenes oracle,nuScenes,oracle,brake/J,plan_ade/JC_ade,False,R1_mlp_clf,0.2,1.0,752.0,24.0,1.441664476499422,-0.503873410509891,1.945537887009313,0.00047813973207561815,0.016640732346754127,,,,-0.07391448789488352,0.09055522024163765,-10.499472227155861,13.903683553446612,False,-10.499472227155861,False,0.0,-0.0034822352353562416,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_ade/JC_ade,False,R1_mlp_clf,0.3,1.0,752.0,24.0,-0.8826159252086039,-0.7591692718349026,-0.12344665337370131,-0.00029272673974018457,-0.010187790304747113,,,,0.09220658945288547,-0.10239437975763259,-11.261507662992049,19.968496793118216,False,-11.261507662992049,False,0.0,-0.0037349704765044186,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_ade/JC_ade,False,R1_mlp_clf,0.5,1.0,752.0,24.0,6.295819050609316,-1.2630426823447936,7.558861732954109,0.002088059519482873,0.07267088940082328,,,,0.12386537931883569,-0.05119448991801241,-8.482988318123498,24.155319010116507,False,-8.482988318123498,False,0.0,-0.0028134519700983938,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_ade/JC_ade,False,R1_gbm_reg,0.1,1.0,752.0,24.0,-3.2003266617200685,-0.2519367052549455,-2.948389956465123,-0.0010614143287381644,-0.04142887937234673,,,,-0.11261958935835159,0.07119070998600485,-14.97575394044795,12.202379500531455,False,-14.97575394044795,False,0.0,-0.004966830419587603,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_ade/JC_ade,False,R1_gbm_reg,0.2,1.0,752.0,24.0,1.3663390269284026,-0.503873410509891,1.8702124374382936,0.0004531574349714992,0.01577127161879482,,,,-0.08348500647360639,0.09925627809240122,-15.967706778480762,15.584640679077449,False,-15.967706778480762,False,0.0,-0.005295819634443136,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_ade/JC_ade,False,R1_gbm_reg,0.3,1.0,752.0,24.0,0.18468483343728348,-0.7591692718349026,0.943854105272186,6.125222492306329e-05,0.002131765699878458,,,,-0.17087043458068965,0.17300220028056812,-17.03156153855638,12.513631056818479,False,-17.03156153855638,False,0.0,-0.005648655705693957,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_ade/JC_ade,False,R1_gbm_reg,0.5,1.0,752.0,24.0,-5.2506439502752436,-1.2630426823447936,-3.98760126793045,-0.0017414187090917593,-0.060606723720343494,,,,-0.11311368626798829,0.052506962547644795,-20.80605493523433,10.648976193469128,False,-20.80605493523433,False,0.0,-0.006900497095162713,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_ade/JC_ade,False,R1_gbm_clf,0.1,1.0,752.0,24.0,3.558195817046832,-0.2519367052549455,3.8101325223017772,0.0011801045405283243,0.046061568355148116,,,,-0.02881496074662096,0.07487652910176908,-6.774663841081979,12.528320965739628,False,-6.774663841081979,False,0.0,-0.0022468722831699836,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_ade/JC_ade,False,R1_gbm_clf,0.2,1.0,752.0,24.0,6.195065315226166,-0.503873410509891,6.698938725736056,0.002054643724873928,0.07150791703743553,,,,0.031370783877119605,0.040137133160315926,-6.93254303329356,20.924630555825665,False,-6.93254303329356,False,0.0,-0.0022992341994791496,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_ade/JC_ade,False,R1_gbm_clf,0.3,1.0,752.0,24.0,11.803845725165058,-0.7591692718349026,12.56301499699996,0.003914841299410081,0.13624851036893004,,,,-0.0660281631283882,0.20227667349731826,-3.8643173410589102,30.437558390995747,False,-3.8643173410589102,False,0.0,-0.0012816322301257821,,,,,,
