status,track,geometry,system,target,architecture,kind,label,quota,k,ndg,minus_random,boot_dropped,minus_random_lo,minus_random_hi,minus_V,minus_V_lo,minus_V_hi,minus_rankV,minus_rankV_lo,minus_rankV_hi,minus_secdfV,minus_secdfV_lo,minus_secdfV_hi,pooled_against,n_cells,note
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_gbm_reg,regression,secdfV,0.1,354.0,0.34643776450707625,0.2816192726952552,85.0,0.04332705053927288,0.6517318979407213,0.03015221007989166,-0.0901397483804583,0.07434787035337675,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_gbm_reg,regression,secdfV,0.2,707.0,0.4874967542661607,0.3826025453108111,85.0,0.0641091583249339,0.7039878329396516,-0.028550307023128774,-0.09761476051011489,0.08342614736359835,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_gbm_reg,regression,secdfV,0.3,1061.0,0.7601143675131833,0.4447814334481705,85.0,0.1316584301957679,0.6319502682682202,0.01931777257409717,-0.05419468455830542,0.08791255085558314,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_gbm_reg,regression,secdfV,0.5,1768.0,0.8727564512948413,0.37745816220414397,85.0,0.3146814169771721,0.46394686519433354,0.06462881174218227,-0.0019492444055219105,0.11826404955726455,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_gbm_reg,regression,Q,0.1,354.0,0.0939205401578199,0.0024700287484667794,85.0,-0.09982246535938953,0.25701407439398916,-0.22236501426936467,-0.6898974715880943,0.19678335641879605,-0.19654314144805168,-0.5811707667418256,0.219639567423832,-0.25251722434925633,-0.7509823231040166,0.19711160312804746,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_gbm_reg,regression,Q,0.2,707.0,0.254736364478201,0.02931133642686969,85.0,-0.19640801820458353,0.34272398482746086,-0.2613106968110884,-0.8790472787488366,0.19380502075037534,-0.18216146774383007,-0.8085164323593197,0.2886859068123428,-0.23276038978795965,-0.8715504561596183,0.23446544877001657,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_gbm_reg,regression,Q,0.3,1061.0,0.36013437948461824,0.04770682352177895,85.0,-0.29024601150496493,0.37878047428135514,-0.3806622154544679,-0.9041408800350406,0.10972175205884133,-0.22282784560200775,-0.8582399971488366,0.31810432710984793,-0.39997998802856505,-0.906862506314333,0.10349827437907205,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_gbm_reg,regression,Q,0.5,1768.0,0.7014413156369931,0.1879868532986458,85.0,-0.09767638928598459,0.39286024593373653,-0.1066863239156659,-0.5243936055365049,0.16532674759758448,-0.044741167245600066,-0.57973784700054,0.33424807813848767,-0.17131513565784817,-0.559123361969232,0.06275959522409662,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_gbm_reg,regression,G,0.1,354.0,0.1970238654610184,0.09724317051364224,85.0,-0.06331541070346845,0.26149928746870604,-0.11926168896616618,-0.5515719593610217,0.17201193485583458,-0.0934398161448532,-0.4453217858619345,0.18997134614520425,-0.14941389904605784,-0.6148883214966885,0.1751418675063395,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_gbm_reg,regression,G,0.2,707.0,0.35807126089187213,0.1371878043937314,85.0,-0.05073053288638929,0.3170300927082167,-0.15797580039741732,-0.7164522767740581,0.10552168204211561,-0.07882657133015897,-0.6423651790493085,0.21172983099936044,-0.12942549337428855,-0.7191615236909378,0.16042391696760047,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_gbm_reg,regression,G,0.3,1061.0,0.4881901404495231,0.15979384200691757,85.0,-0.10649889763949477,0.3986411370641625,-0.25260645448956304,-0.7149838780059041,0.054068713353631136,-0.0947720846371029,-0.6690540935976104,0.2893520799266018,-0.2719242270636602,-0.7177191105161393,0.07822198374984907,,,
