pair,geometry,system,n,latency_added_s,affected,harmed,rho,all_full,oracle20,n_frames,dets_per_frame_cheap,dets_per_frame_full,harmed_ratio_to_n1,rho_ratio_to_n1,reading,settings,section,reference,shipped_affected,shipped_harmed,shipped_rho,shipped_all_full,shipped_oracle20,reproduced_3dp
YOLOv8s 384->640,mono,q_brake,1,0.0,2646.0,0.4459561602418745,0.5512850317471811,0.16267845116400656,0.362542956383722,8008.0,4.4968781218781215,6.131993006993007,1.0,1.0,,,,,,,,,,
YOLOv8s 384->640,mono,q_traj,1,0.0,920.0,0.4543478260869565,0.21065344354519142,0.17819163559951962,0.2257457565911603,8008.0,4.4968781218781215,6.131993006993007,1.0,1.0,,,,,,,,,,
YOLOv8s 384->640,mono,q_brake,2,0.1,2493.0,0.4452466907340554,0.4605750454364811,0.20659449686179568,0.3829902475108176,8008.0,3.873001998001998,5.36963036963037,0.9984091048155175,0.8354571934898831,,,,,,,,,,
YOLOv8s 384->640,mono,q_traj,2,0.1,879.0,0.459613196814562,0.16990058800167168,0.21418372443782216,0.2580217758764683,8008.0,3.873001998001998,5.36963036963037,1.0115888542330072,0.8065407578548459,,,,,,,,,,
YOLOv8s 384->640,mono,q_brake,3,0.2,2337.0,0.4291827128797604,0.3696120845196613,0.24271310280358566,0.38502182044312006,8008.0,3.2857142857142856,4.5576923076923075,0.9623876765083441,0.6704555052914354,no material change,,,,,,,,,
YOLOv8s 384->640,mono,q_traj,3,0.2,871.0,0.45579793340987373,0.1682284702537448,0.23047587572764303,0.27709036374201457,8008.0,3.2857142857142856,4.5576923076923075,1.003191623772928,0.7986029918265011,no material change,,,,,,,,,
YOLOv8s 512->640,mono,q_brake,1,0.0,2325.0,0.4572043010752688,0.6794995286298516,0.07984635537649912,0.24913022759422127,8008.0,5.516483516483516,6.131993006993007,1.0,1.0,,,,,,,,,,
YOLOv8s 512->640,mono,q_traj,1,0.0,624.0,0.40705128205128205,0.43522822619035645,0.04721799483964695,0.08360544387893236,8008.0,5.516483516483516,6.131993006993007,1.0,1.0,,,,,,,,,,
YOLOv8s 512->640,mono,q_brake,2,0.1,2186.0,0.4505946935041171,0.5996015949950649,0.09971060853009264,0.2490284858374122,8008.0,4.792457542457543,5.36963036963037,0.9855434265259382,0.8824164988077423,,,,,,,,,,
YOLOv8s 512->640,mono,q_traj,2,0.1,597.0,0.40871021775544386,0.30965204854701095,0.07055197351036982,0.10219770097365825,8008.0,4.792457542457543,5.36963036963037,1.004075495588177,0.7114705111326534,,,,,,,,,,
YOLOv8s 512->640,mono,q_brake,3,0.2,2038.0,0.44847890088321885,0.5669876414705162,0.10278088479457852,0.2373624742342808,8008.0,4.0754245754245755,4.5576923076923075,0.980915752166965,0.834419477249373,no material change,,,,,,,,,
YOLOv8s 512->640,mono,q_traj,3,0.2,593.0,0.40978077571669475,0.29859979871817116,0.08165770289613279,0.11642098583219866,8008.0,4.0754245754245755,4.5576923076923075,1.0067055277449508,0.6860763635021505,no material change,,,,,,,,,
summary over settings,all,all,3,,,,,,,,,,,,no material change,12.0,,,,,,,,
RT-DETR-l 320->640,mono,q_brake,1,,3567.0,0.455564900476591,0.7960162625078837,0.08234554788845154,0.4017878295278262,,,,,,,,sanity,shipped per-frame tables,3567.0,0.455564900476591,0.7960162625078838,0.08234554788845153,0.4017878295278262,True
RT-DETR-l 320->640,mono,q_traj,1,,1166.0,0.40051457975986277,0.31650528235835657,0.12828750421063526,0.18769348306492267,,,,,,,,sanity,shipped per-frame tables,1166.0,0.40051457975986277,0.31650528235835657,0.12828750421063528,0.1876934830649227,True
RT-DETR-l 480->640,mono,q_brake,1,,3091.0,0.44548689744419284,0.8048020416752143,0.05941604260124558,0.30391028423323196,,,,,,,,sanity,calibration_cells.csv S0 all,3091.0,0.4454868974441928,0.8048020416752141,0.0594160426012455,0.3039102842332319,True
RT-DETR-l 480->640,mono,q_traj,1,,730.0,0.4136986301369863,0.5480288170458063,0.03706473372294283,0.08200685158880944,,,,,,,,sanity,calibration_cells.csv S0 all,730.0,0.4136986301369863,0.5480288170458065,0.0370647337229428,0.0820068515888094,True
YOLOv8s 320->640,mono,q_brake,1,,3026.0,0.4071381361533377,0.19152415505145867,0.5016626047116192,0.6199579483173769,,,,,,,,sanity,calibration_cells.csv S0 all,3026.0,0.4071381361533377,0.1915241550514586,0.5016626047116192,0.6199579483173769,True
YOLOv8s 320->640,mono,q_traj,1,,1355.0,0.35202952029520296,0.06219486441839134,0.424294266112015,0.4524332934569339,,,,,,,,sanity,calibration_cells.csv S0 all,1355.0,0.3520295202952029,0.0621948644183913,0.424294266112015,0.4524332934569339,True
YOLOv8s 320->640,oracle,q_brake,1,,1846.0,0.3412784398699892,0.09109588298414505,0.6752883148104513,0.742969805250284,,,,,,,,sanity,calibration_cells.csv S0 all,1846.0,0.3412784398699892,0.091095882984145,0.6752883148104513,0.742969805250284,True
YOLOv8s 320->640,oracle,q_traj,1,,779.0,0.09499358151476252,0.004000053212079966,0.6896389125273614,0.692408583706688,,,,,,,,sanity,calibration_cells.csv S0 all,779.0,0.0949935815147625,0.0040000532120799,0.6896389125273614,0.692408583706688,True
YOLOv8s 384->640,mono,q_brake,1,,2646.0,0.4459561602418745,0.5512850317471811,0.16267845116400656,0.362542956383722,,,,,,,,sanity,calibration_cells.csv S0 all,2646.0,0.4459561602418745,0.5512850317471808,0.1626784511640065,0.362542956383722,True
YOLOv8s 384->640,mono,q_traj,1,,920.0,0.4543478260869565,0.21065344354519142,0.17819163559951962,0.2257457565911603,,,,,,,,sanity,calibration_cells.csv S0 all,920.0,0.4543478260869565,0.2106534435451915,0.1781916355995196,0.2257457565911603,True
YOLOv8s 512->640,mono,q_brake,1,,2325.0,0.4572043010752688,0.6794995286298516,0.07984635537649912,0.24913022759422127,,,,,,,,sanity,calibration_cells.csv S0 all,2325.0,0.4572043010752688,0.6794995286298514,0.0798463553764991,0.2491302275942212,True
