architecture,comparison,quota,value_before,lo_before,hi_before,value_after,lo_after,hi_after,excludes_zero_before,excludes_zero_after
MLP,binary Q>0 - V>0,0.2,-0.05117392823763487,-0.14007792276497263,0.09205017265084565,-0.06653305796896203,-0.16712315941539288,0.09122406046594375,False,False
MLP,binary Q>0 - V>0,0.3,-0.07602049464944922,-0.16209937822131174,0.11786644294422588,-0.07862371117239297,-0.1749154325797067,0.12738859825483745,False,False
MLP,binary Q>0 - V>0,0.5,-0.05902379440606935,-0.1723837297369655,0.10703542357228907,-0.052976539389096654,-0.19818531020376973,0.12547379669455766,False,False
MLP,binary G>0 - V>0,0.1,-0.07161877854679854,-0.13442399945049216,0.016747305627420547,-0.09933759593326386,-0.17495685724823645,0.002665135829252421,False,False
MLP,binary G>0 - V>0,0.2,-0.08585124349815434,-0.1722048539188758,0.06301391574282479,-0.10059413807882774,-0.19299531179799836,0.0678760561256267,False,False
MLP,binary G>0 - V>0,0.3,-0.10665422787796816,-0.19078307153210325,0.07351301874599758,-0.10805147528857031,-0.20394396168566664,0.08559641422110739,False,False
MLP,binary G>0 - V>0,0.5,-0.0007596690378643717,-0.12482862108589142,0.15864873520312486,0.00727327611676544,-0.13474987572679598,0.16900587857190602,False,False
GBM,binary Q>0 - V>0,0.1,0.03276840597956839,-0.0529882023284397,0.09144938655049005,0.003852806900595071,-0.07158316813158032,0.07839892810381137,False,False
GBM,binary Q>0 - V>0,0.2,0.023962385873763502,-0.046432076224136386,0.12006117343030921,-0.031967259228145486,-0.09596232287786265,0.08618406545872215,False,False
GBM,binary Q>0 - V>0,0.3,-0.0025881416059471696,-0.07506712147359768,0.12714584724049094,-0.03517896765613064,-0.10325903670607009,0.10331008526169795,False,False
GBM,binary Q>0 - V>0,0.5,0.0026558768642295006,-0.10419089371888356,0.10171059612170841,-0.0059382367867509,-0.10066635130430644,0.10734282851566633,False,False
GBM,binary G>0 - V>0,0.1,0.01154147051771125,-0.0810949949926443,0.08464880937286616,-0.017363349733933154,-0.09500350516241406,0.06449285892606337,False,False
GBM,binary G>0 - V>0,0.2,-0.07836724661278224,-0.15033933960543694,0.06305270779196319,-0.13542274477456953,-0.1941463248410333,0.027789540382614653,False,False
GBM,binary G>0 - V>0,0.3,-0.11435661355605617,-0.18618132300702542,0.058753007342060626,-0.1492471171584396,-0.2127828275731832,0.0333466565435795,False,False
GBM,binary G>0 - V>0,0.5,-0.09705729178509499,-0.17004599647524482,0.04883283187169738,-0.10834128489778916,-0.18370407797330462,0.06670454602247561,False,False
