architecture,label,track,geometry,system,target,quota,minus_V_before,minus_V_lo_before,minus_V_hi_before,status_before,minus_V_after,minus_V_lo_after,minus_V_hi_after,status_after
R1_gbm_reg,secdfV,nuScenes,mono,plan_fde,JC_fde,0.3,0.16160208746048974,0.003334650762595965,0.36330285372020693,post-hoc (decided after Task 24's test results were seen),0.16160208746048974,0.003334650762595965,0.36330285372020693,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,nuScenes,mono,plan_fde,JC_fde,0.5,0.07169405587733835,-0.06900272625079637,0.3259011847588979,post-hoc (decided after Task 24's test results were seen),0.07169405587733835,-0.06900272625079637,0.3259011847588979,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,nuScenes,mono,plan_fde,JC_fde,0.1,0.2966717770639567,0.06272302582277099,0.4013144152033163,post-hoc (decided after Task 24's test results were seen),0.2966717770639567,0.06272302582277099,0.4013144152033163,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,nuScenes,mono,plan_fde,JC_fde,0.2,0.25276168438217733,0.05312703511373736,0.41236872404241987,post-hoc (decided after Task 24's test results were seen),0.25276168438217733,0.05312703511373736,0.41236872404241987,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,nuScenes,mono,plan_fde,JC_fde,0.3,0.1834234069459423,-0.003316640984363876,0.40654143295255946,post-hoc (decided after Task 24's test results were seen),0.1834234069459423,-0.003316640984363876,0.40654143295255946,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,nuScenes,mono,plan_fde,JC_fde,0.5,0.24362042181433943,0.005355192666281361,0.5676840883065671,post-hoc (decided after Task 24's test results were seen),0.24362042181433943,0.005355192666281361,0.5676840883065671,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,nuScenes,mono,plan_fde,JC_fde,0.1,0.14886697644430308,0.0644510369532917,0.34303410402261586,post-hoc (decided after Task 24's test results were seen),0.14886697644430308,0.0644510369532917,0.34303410402261586,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,nuScenes,mono,plan_fde,JC_fde,0.2,0.18942845185678625,0.028538831496842026,0.47624747931773803,post-hoc (decided after Task 24's test results were seen),0.18942845185678625,0.028538831496842026,0.47624747931773803,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,nuScenes,mono,plan_fde,JC_fde,0.3,0.20948185596706123,0.010265710911066477,0.4771514720382334,post-hoc (decided after Task 24's test results were seen),0.20948185596706123,0.010265710911066477,0.4771514720382334,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,nuScenes,mono,plan_fde,JC_fde,0.5,0.11257948810211085,-0.13263716580140852,0.4734636802482528,post-hoc (decided after Task 24's test results were seen),0.11257948810211085,-0.13263716580140852,0.4734636802482528,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,nuScenes,oracle,brake,J,0.1,0.001178012547657134,-0.280584588315785,0.3099620600274518,post-hoc (decided after Task 24's test results were seen),0.00981455425896599,-0.1388512277946664,0.1255543014066426,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,nuScenes,oracle,brake,J,0.2,-0.19315160920936345,-0.4627838165065034,0.2190125738267549,post-hoc (decided after Task 24's test results were seen),-0.20976734316239554,-0.6151439867246752,0.08225007621443253,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,nuScenes,oracle,brake,J,0.3,-0.2548513457817223,-0.5184232428729625,0.17734188447940086,post-hoc (decided after Task 24's test results were seen),-0.3537151390838811,-0.6327096971208608,0.11875989325266496,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,nuScenes,oracle,brake,J,0.5,-0.31975897154861044,-0.578089105187777,0.16147121014894295,post-hoc (decided after Task 24's test results were seen),-0.24848359264729103,-0.6775204255389098,0.3238321395743853,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,nuScenes,oracle,brake,J,0.1,-0.04147412493934709,-0.22585333066018318,0.10346902200340112,post-hoc (decided after Task 24's test results were seen),0.03768887853015233,-0.047331601979238185,0.1545999943468629,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,nuScenes,oracle,brake,J,0.2,-0.17219719769292058,-0.3039482601659448,0.06704658868780451,post-hoc (decided after Task 24's test results were seen),-0.055588300674669855,-0.3588150805227233,0.153770312044907,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,nuScenes,oracle,brake,J,0.3,-0.0019612406389030723,-0.2536717443293374,0.24522751406723897,post-hoc (decided after Task 24's test results were seen),-0.21956895429406503,-0.4904726664191609,0.0,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,nuScenes,oracle,brake,J,0.5,-0.06796822436899286,-0.27158850313897176,0.44340336212287157,post-hoc (decided after Task 24's test results were seen),-0.036375576334928605,-0.5785372982574769,0.17148202624716483,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,nuScenes,oracle,brake,J,0.1,-0.05340654863309331,-0.41705771365504435,0.22811610736801582,post-hoc (decided after Task 24's test results were seen),0.023824078556659363,-0.35399576978135977,0.26855784278435235,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,nuScenes,oracle,brake,J,0.2,-0.17152357664070306,-0.5754174507854226,0.24679654789751898,post-hoc (decided after Task 24's test results were seen),-0.19374409623670777,-0.7536092623361209,0.2868748985050693,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,nuScenes,oracle,brake,J,0.3,-0.15420005610755466,-0.5618336680915156,0.31134800731479056,post-hoc (decided after Task 24's test results were seen),-0.2724190322326357,-0.7233355068814175,0.19522051048988417,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,nuScenes,oracle,brake,J,0.5,-0.1764716535874965,-0.7045081579413331,0.33026335809644786,post-hoc (decided after Task 24's test results were seen),-0.17904700114790967,-0.8066583079674877,0.3155520514097386,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,nuScenes,oracle,brake,J,0.1,-0.029331585180887132,-0.2588219286406192,0.342636904612453,post-hoc (decided after Task 24's test results were seen),0.04648574942486627,-0.11621875672846632,0.3612878972612361,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,nuScenes,oracle,brake,J,0.2,-0.04769872929521696,-0.42200275880589055,0.45510876806012873,post-hoc (decided after Task 24's test results were seen),-0.06592853232335277,-0.48715096161761096,0.3659009943253142,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,nuScenes,oracle,brake,J,0.3,-0.1650271126557529,-0.5039234583883786,0.3917419673706498,post-hoc (decided after Task 24's test results were seen),-0.27881727514738797,-0.5817405371287127,0.21720046643756719,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,nuScenes,oracle,brake,J,0.5,-0.035310569698885796,-0.551797379922829,0.4404555986993108,post-hoc (decided after Task 24's test results were seen),-0.037135520300794755,-0.5303683544692792,0.3480615865648361,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,nuScenes,oracle,brake,J,0.1,-0.1526500995687465,-0.36230024024128266,0.07715445431410259,post-hoc (decided after Task 24's test results were seen),0.1344749447609551,-0.21669579204548015,0.42127826309854743,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,nuScenes,oracle,brake,J,0.2,-0.18984436670840343,-0.41853398303156597,0.10101552022819464,post-hoc (decided after Task 24's test results were seen),0.13434812081539682,-0.30100022761945955,0.3263557104648855,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,nuScenes,oracle,brake,J,0.3,-0.2841713480130066,-0.4379452839384793,0.06946889089378822,post-hoc (decided after Task 24's test results were seen),-0.16433126542848525,-0.3224253258454828,0.29368076424101064,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,nuScenes,oracle,brake,J,0.5,-0.1142998366686645,-0.41055924068775834,0.3764326721860276,post-hoc (decided after Task 24's test results were seen),0.06550095286678292,-0.2706911140756197,0.4675428454198423,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,nuScenes,oracle,brake,J,0.1,0.026905977256744373,-0.28631541089954293,0.12796440758393166,post-hoc (decided after Task 24's test results were seen),0.15532387869248584,0.0,0.3121342229856508,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,nuScenes,oracle,brake,J,0.2,-0.21480226969043892,-0.3890043535885245,0.048113303583949614,post-hoc (decided after Task 24's test results were seen),-0.021521227976959822,-0.4075396915514254,0.06945747781163206,post-hoc (decided after Task 24's test results were seen)
