track,pair,mode,band,n,bias_cam,bias_ego,mae_cam,mae_ego
KITTI,Y8 512->640,cheap,,32,7.390930235385895,8.454163610935211,7.390930235385895,8.454163610935211
KITTI,Y8 512->640,cheap,0-15,11832,0.26661038398742676,1.221959114074707,0.767580509185791,1.2525968551635742
KITTI,Y8 512->640,cheap,15-30,10713,0.8789901733398438,2.052705764770508,2.7236289978027344,2.3562936782836914
KITTI,Y8 512->640,cheap,30-50,5745,-1.3188095092773438,2.74688720703125,6.498466491699219,4.468326568603516
KITTI,Y8 512->640,cheap,>50,1120,-4.982818603515625,0.37761688232421875,8.46065902709961,6.763357162475586
KITTI,Y8 512->640,full,,34,7.1273656487464905,8.105311453342438,7.1273656487464905,8.105311453342438
KITTI,Y8 512->640,full,0-15,11983,0.29224491119384766,1.2643117904663086,0.7637271881103516,1.2879905700683594
KITTI,Y8 512->640,full,15-30,11472,1.0756473541259766,2.237598419189453,2.680612564086914,2.4928035736083984
KITTI,Y8 512->640,full,30-50,6599,-0.8451251983642578,3.1206092834472656,6.217327117919922,4.633832931518555
KITTI,Y8 512->640,full,>50,1966,-2.9480056762695312,2.8974761962890625,7.589511871337891,7.277959823608398
nuScenes,Y8 320->640,cheap,,17,6.9814136028289795,8.562789678573608,6.9814136028289795,8.562789678573608
nuScenes,Y8 320->640,cheap,0-15,1481,-0.42829418182373047,1.2006311416625977,1.0602035522460938,1.2517900466918945
nuScenes,Y8 320->640,cheap,15-30,2314,-0.6950883865356445,1.110280990600586,3.7919864654541016,2.8070068359375
nuScenes,Y8 320->640,cheap,30-50,1489,-2.2443504333496094,0.2360382080078125,9.55057144165039,6.268924713134766
nuScenes,Y8 320->640,cheap,>50,334,-12.848827362060547,-1.9924907684326172,16.48097801208496,10.599374771118164
nuScenes,Y8 320->640,full,,15,7.822005271911621,9.411957740783691,7.822005271911621,9.411957740783691
nuScenes,Y8 320->640,full,0-15,1560,-0.348677396774292,1.2162623405456543,1.0689561367034912,1.23533296585083
nuScenes,Y8 320->640,full,15-30,3077,-0.44954872131347656,1.2255821228027344,4.160871505737305,3.1728248596191406
nuScenes,Y8 320->640,full,30-50,2600,-0.6577873229980469,1.239415168762207,9.875886917114258,6.7652788162231445
nuScenes,Y8 320->640,full,>50,882,-9.101865768432617,0.9597587585449219,15.36423110961914,9.864465713500977
